nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,league,season,stat_type
,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,,,
POR,FW,25-033,2000,18.4,17,9,6,8,3,6,16,37.5,10,11,1,10,7,24,3,0,ENG-Premier League,2024,defense
ENG,"DF,MF",25-124,1999,8.5,8,8,5,3,0,3,9,33.3,6,11,4,7,11,19,17,3,ENG-Premier League,2024,defense
POR,"DF,MF",21-256,2003,2.0,9,6,6,3,0,4,12,33.3,8,3,1,2,1,10,2,0,ENG-Premier League,2024,defense
ESP,GK,27-144,1997,25.0,0,0,0,0,0,0,1,0.0,1,0,0,0,2,2,20,8,ENG-Premier League,2024,defense
BEL,MF,21-095,2004,6.0,17,10,5,9,3,7,14,50.0,7,6,0,6,11,28,5,0,ENG-Premier League,2024,defense
ENG,MF,17-173,2007,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,ENG-Premier League,2024,defense
ENG,DF,27-199,1997,13.1,14,10,10,4,0,8,12,66.7,4,9,7,2,10,24,58,0,ENG-Premier League,2024,defense
ENG,DF,25-280,1999,5.3,4,1,1,3,0,3,3,100.0,0,3,1,2,7,11,22,1,ENG-Premier League,2024,defense
ENG,FW,19-066,2006,1.0,2,0,2,0,0,2,3,66.7,1,0,0,0,1,3,0,0,ENG-Premier League,2024,defense
FRA,DF,24-115,2000,13.0,13,12,6,7,0,6,14,42.9,8,14,9,5,14,27,55,2,ENG-Premier League,2024,defense
ENG,MF,20-313,2004,11.2,33,14,13,16,4,16,39,41.0,23,9,1,8,16,49,22,0,ENG-Premier League,2024,defense
ENG,MF,19-195,2005,0.1,2,1,0,2,0,0,0,,0,0,0,0,0,2,0,0,ENG-Premier League,2024,defense
ENG,DF,28-111,1996,1.2,4,4,2,2,0,0,2,0.0,2,3,1,2,1,5,11,0,ENG-Premier League,2024,defense
ENG,DF,18-270,2006,0.1,2,1,2,0,0,2,2,100.0,0,0,0,0,0,2,1,0,ENG-Premier League,2024,defense
MAR,DF,21-298,2003,1.0,5,2,2,2,1,2,3,66.7,1,0,0,0,2,7,0,0,ENG-Premier League,2024,defense
MLI,MF,25-093,2000,5.0,16,8,6,8,2,5,11,45.5,6,4,0,4,11,27,10,1,ENG-Premier League,2024,defense
USA,DF,25-014,2000,14.9,38,25,17,16,5,21,34,61.8,13,26,9,17,9,47,83,0,ENG-Premier League,2024,defense
JPN,MF,28-249,1996,12.3,40,23,17,20,3,12,34,35.3,22,16,3,13,15,55,10,0,ENG-Premier League,2024,defense
COL,DF,28-320,1996,27.9,97,64,47,31,19,42,74,56.8,32,28,2,26,31,128,82,1,ENG-Premier League,2024,defense
ENG,GK,28-030,1997,30.0,2,1,2,0,0,2,5,40.0,3,0,0,0,0,2,21,0,ENG-Premier League,2024,defense
ENG,"MF,FW",26-286,1998,23.3,36,22,13,14,9,17,35,48.6,18,24,0,24,10,46,9,3,ENG-Premier League,2024,defense
ENG,"FW,MF",25-316,1999,8.3,12,5,6,2,4,5,11,45.5,6,9,0,9,2,14,9,0,ENG-Premier League,2024,defense
SEN,MF,27-045,1998,23.4,19,10,8,8,3,7,22,31.8,15,21,7,14,7,26,31,0,ENG-Premier League,2024,defense
FRA,FW,27-287,1997,25.1,17,12,4,11,2,3,15,20.0,12,14,3,11,2,19,20,0,ENG-Premier League,2024,defense
COL,"MF,DF",30-168,1994,19.1,25,11,9,12,4,13,28,46.4,15,28,15,13,31,56,49,1,ENG-Premier League,2024,defense
GHA,"MF,DF",32-109,1992,1.1,2,0,1,0,1,0,3,0.0,3,6,0,6,0,2,2,0,ENG-Premier League,2024,defense
DEN,DF,28-315,1996,1.0,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,7,0,ENG-Premier League,2024,defense
ENG,DF,35-164,1989,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,ENG-Premier League,2024,defense
GHA,"FW,MF",33-212,1991,0.2,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0,ENG-Premier League,2024,defense
NIR,MF,21-182,2003,3.7,11,8,6,4,1,7,13,53.8,6,3,0,3,0,11,10,0,ENG-Premier League,2024,defense
ENG,DF,24-272,2000,29.0,53,29,31,20,2,29,42,69.0,13,50,21,29,23,76,139,2,ENG-Premier League,2024,defense
BRA,"MF,DF",21-010,2004,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,ENG-Premier League,2024,defense
FRA,DF,25-005,2000,26.9,62,37,46,15,1,29,42,69.0,13,37,12,25,45,107,159,1,ENG-Premier League,2024,defense
ENG,"DF,MF",34-006,1991,5.1,12,8,8,3,1,6,10,60.0,4,4,2,2,3,15,13,1,ENG-Premier League,2024,defense
FRA,"MF,FW",27-085,1998,1.3,1,0,0,1,0,0,2,0.0,2,1,0,1,0,1,1,0,ENG-Premier League,2024,defense
