nation,pos,age,born,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,league,season,stat_type
,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,,,
NED,"DF,MF",25,1996,0.7,0,0,0,2,1,0,0,0,1,0,0,0,8,2,1,66.7,ENG-Premier League,2022,misc
FRA,FW,25,1997,8.6,3,0,0,16,8,8,3,3,1,0,0,0,23,26,44,37.1,ENG-Premier League,2022,misc
GHA,"MF,FW",29,1992,28.1,7,0,0,51,33,0,16,23,46,0,0,0,150,26,44,37.1,ENG-Premier League,2022,misc
DEN,DF,26,1996,30.9,8,0,0,27,16,2,10,24,22,0,0,2,180,87,34,71.9,ENG-Premier League,2022,misc
ENG,DF,32,1989,25.1,6,0,0,29,11,0,36,25,36,0,0,0,116,58,39,59.8,ENG-Premier League,2022,misc
GHA,"FW,MF",30,1991,30.2,5,0,0,48,90,4,43,15,41,0,0,0,166,50,92,35.2,ENG-Premier League,2022,misc
ENG,GK,18,2004,2.0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,ENG-Premier League,2022,misc
SRB,MF,31,1991,5.7,2,0,0,15,3,0,6,12,7,0,0,0,34,6,9,40.0,ENG-Premier League,2022,misc
ENG,"MF,FW",18,2003,0.4,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,,ENG-Premier League,2022,misc
ENG,DF,22,2000,37.0,8,0,0,24,40,0,0,45,27,0,0,1,241,54,43,55.7,ENG-Premier League,2022,misc
FRA,"FW,MF",20,2001,30.5,2,0,0,28,69,7,242,26,34,0,1,0,165,17,38,30.9,ENG-Premier League,2022,misc
FRA,"MF,FW",20,2002,1.0,1,0,0,2,0,2,2,0,2,0,0,0,8,0,1,0.0,ENG-Premier League,2022,misc
ENG,DF,31,1991,18.2,3,0,0,10,8,0,21,19,16,0,0,0,81,6,18,25.0,ENG-Premier League,2022,misc
FRA,FW,24,1998,20.0,3,0,0,28,17,13,4,3,13,0,0,0,55,41,77,34.7,ENG-Premier League,2022,misc
ENG,GK,29,1993,9.0,1,0,0,1,0,0,0,0,0,0,1,0,12,3,0,100.0,ENG-Premier League,2022,misc
ENG,DF,22,1999,32.1,5,1,0,33,10,2,70,42,49,0,1,0,186,25,26,49.0,ENG-Premier League,2022,misc
ESP,GK,35,1987,27.0,1,0,0,1,3,0,0,0,0,0,0,0,26,10,1,90.9,ENG-Premier League,2022,misc
CIV,"FW,MF",29,1992,25.4,5,0,0,35,77,14,39,16,20,1,0,0,97,6,16,27.3,ENG-Premier League,2022,misc
ENG,MF,27,1995,9.4,4,0,0,19,7,0,12,16,16,0,1,0,66,5,13,27.8,ENG-Premier League,2022,misc
MLI,MF,29,1993,17.0,6,1,0,21,4,8,8,13,20,0,1,0,100,13,30,30.2,ENG-Premier League,2022,misc
NGA,"MF,FW",26,1996,37.5,2,0,0,19,15,4,104,25,37,1,0,0,259,10,28,26.3,ENG-Premier League,2022,misc
BEL,MF,20,2001,27.6,9,0,0,44,49,2,5,37,43,0,0,0,150,60,55,52.2,ENG-Premier League,2022,misc
ENG,FW,21,2001,12.2,6,0,0,20,15,3,25,4,22,0,0,0,56,9,29,23.7,ENG-Premier League,2022,misc
