nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,league,season,stat_type
,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,,,
ENG,"MF,FW",20,2000,20,18,1440,16.0,2,4,6,2,0,0,0,0,1.8,1.8,3.4,5.1,51,68,113,0.12,0.25,0.37,0.12,0.37,0.11,0.21,0.32,0.11,0.32,ENG-Premier League,2021,standard
BRA,DF,22,1997,23,22,1996,22.2,2,0,2,2,0,0,4,1,1.3,1.3,0.1,1.4,18,80,8,0.09,0.0,0.09,0.09,0.09,0.06,0.0,0.06,0.06,0.06,ENG-Premier League,2021,standard
BRA,FW,19,2001,14,7,589,6.5,2,1,3,2,0,0,0,0,3.3,3.3,1.8,5.1,23,8,62,0.31,0.15,0.46,0.31,0.46,0.5,0.27,0.78,0.5,0.78,ENG-Premier League,2021,standard
SUI,"MF,DF",27,1992,31,29,2522,28.0,1,2,3,1,0,0,7,1,0.9,0.9,1.5,2.3,41,276,31,0.04,0.07,0.11,0.04,0.11,0.03,0.05,0.08,0.03,0.08,ENG-Premier League,2021,standard
ESP,"DF,MF",25,1995,25,24,2089,23.2,1,2,3,1,0,0,8,0,0.8,0.8,2.4,3.2,46,108,142,0.04,0.09,0.13,0.04,0.13,0.03,0.1,0.14,0.03,0.14,ENG-Premier League,2021,standard
ENG,MF,20,1999,7,2,238,2.6,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.3,8,11,13,0.0,0.0,0.0,0.0,0.0,0.1,0.02,0.12,0.1,0.12,ENG-Premier League,2021,standard
SCO,DF,23,1997,27,26,2299,25.5,1,3,4,1,0,0,4,0,0.5,0.5,3.5,4.0,82,95,194,0.04,0.12,0.16,0.04,0.16,0.02,0.14,0.16,0.02,0.16,ENG-Premier League,2021,standard
NOR,MF,21,1998,14,9,866,9.6,1,2,3,1,0,0,0,0,0.7,0.7,2.0,2.7,16,65,49,0.1,0.21,0.31,0.1,0.31,0.08,0.21,0.29,0.08,0.29,ENG-Premier League,2021,standard
AUS,GK,28,1992,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,ENG-Premier League,2021,standard
EGY,MF,28,1992,23,17,1544,17.2,1,0,1,1,0,0,3,0,0.4,0.4,0.2,0.6,17,99,12,0.06,0.0,0.06,0.06,0.06,0.02,0.01,0.03,0.02,0.03,ENG-Premier League,2021,standard
