league,season,team,player,nation,pos,age,born,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,stat_type
GER-Bundesliga,2023,Dortmund,Marius Wolf,GER,DF,28.0,1995.0,13.0,0,9,1,11.1,0.69,0.08,0.0,0.0,17.4,0,0,0,0.6,0.6,0.06,-0.6,-0.6,shooting
GER-Bundesliga,2023,Dortmund,Mateu Morey,ESP,DF,23.0,2000.0,1.2,0,1,1,100.0,0.82,0.82,0.0,0.0,26.2,0,0,0,0.0,0.0,0.03,0.0,0.0,shooting
GER-Bundesliga,2023,Dortmund,Mats Hummels,GER,DF,34.0,1988.0,17.6,3,16,6,37.5,0.91,0.34,0.19,0.5,11.7,0,0,0,3.2,3.2,0.23,-0.2,-0.2,shooting
GER-Bundesliga,2023,Dortmund,Niclas Füllkrug,GER,FW,30.0,1993.0,24.6,12,50,23,46.0,2.03,0.94,0.18,0.39,12.2,0,3,3,12.4,10.0,0.2,-0.4,-1.0,shooting
GER-Bundesliga,2023,Dortmund,Nico Schlotterbeck,GER,DF,23.0,1999.0,31.8,2,27,6,22.2,0.85,0.19,0.07,0.33,13.4,0,0,0,3.0,3.0,0.11,-1.0,-1.0,shooting
GER-Bundesliga,2023,Dortmund,Niklas Süle,GER,DF,27.0,1995.0,16.8,1,7,1,14.3,0.42,0.06,0.14,1.0,16.0,0,0,0,0.4,0.4,0.06,0.6,0.6,shooting
GER-Bundesliga,2023,Dortmund,Ole Pohlmann,GER,MF,22.0,2001.0,0.6,0,1,0,0.0,1.67,0.0,0.0,,17.1,0,0,0,0.1,0.1,0.05,-0.1,-0.1,shooting
GER-Bundesliga,2023,Dortmund,Ramy Bensebaini,ALG,DF,28.0,1995.0,11.5,0,16,0,0.0,1.39,0.0,0.0,,17.1,0,0,0,1.7,1.7,0.11,-1.7,-1.7,shooting
GER-Bundesliga,2023,Dortmund,Salih Özcan,TUR,MF,25.0,1998.0,13.2,0,5,2,40.0,0.38,0.15,0.0,0.0,24.5,0,0,0,0.2,0.2,0.03,-0.2,-0.2,shooting
GER-Bundesliga,2023,Dortmund,Samuel Bamba,GER,FW,19.0,2004.0,0.5,0,2,0,0.0,3.83,0.0,0.0,,12.6,0,0,0,0.3,0.3,0.13,-0.3,-0.3,shooting
GER-Bundesliga,2023,Dortmund,Sébastien Haller,CIV,FW,29.0,1994.0,4.4,0,7,2,28.6,1.59,0.45,0.0,0.0,10.7,0,0,0,0.9,0.9,0.13,-0.9,-0.9,shooting
GER-Bundesliga,2023,Dortmund,Thomas Meunier,BEL,DF,31.0,1991.0,6.5,0,8,1,12.5,1.23,0.15,0.0,0.0,18.7,0,0,0,0.5,0.5,0.06,-0.5,-0.5,shooting
GER-Bundesliga,2023,Dortmund,Thorgan Hazard,BEL,DF,30.0,1993.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
