league,season,team,player,nation,pos,age,born,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,stat_type
,,,,,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,
FRA-Ligue 1,2023,Lille,Bafodé Diakité,FRA,DF,22,2001,18.8,4,0,0,16,12,2,3,21,20,0,1,0,83,32,19,62.7,misc
FRA-Ligue 1,2023,Lille,Benjamin André,FRA,MF,32,1990,28.6,8,0,0,51,43,1,19,35,49,0,0,0,195,78,56,58.2,misc
FRA-Ligue 1,2023,Lille,Carlos Baleba,CMR,MF,19,2004,0.7,0,0,0,2,2,0,0,2,2,0,0,0,2,0,0,,misc
FRA-Ligue 1,2023,Lille,Edon Zhegrova,KVX,FW,24,1999,25.4,3,1,0,23,31,11,174,8,18,0,0,0,101,6,11,35.3,misc
FRA-Ligue 1,2023,Lille,Gabriel Gudmundsson,SWE,"DF,FW",24,1999,14.1,2,0,0,21,19,4,36,15,16,0,0,0,65,9,14,39.1,misc
FRA-Ligue 1,2023,Lille,Hákon Arnar Haraldsson,ISL,"FW,MF",20,2003,14.3,5,0,0,15,28,1,7,3,8,0,0,0,48,1,8,11.1,misc
FRA-Ligue 1,2023,Lille,Ichem Ferrah,FRA,FW,17,2005,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,misc
FRA-Ligue 1,2023,Lille,Ignacio Miramon,ARG,MF,20,2003,0.4,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,,misc
FRA-Ligue 1,2023,Lille,Ismaily,BRA,DF,33,1990,27.4,1,0,0,15,23,3,29,32,47,0,0,0,126,42,16,72.4,misc
FRA-Ligue 1,2023,Lille,Ivan Cavaleiro,POR,FW,29,1993,8.6,1,0,0,10,7,2,29,5,6,0,0,0,31,15,22,40.5,misc
FRA-Ligue 1,2023,Lille,Jonathan David,CAN,FW,23,2000,29.2,4,0,0,29,56,13,2,9,15,2,0,0,83,21,67,23.9,misc
FRA-Ligue 1,2023,Lille,Leny Yoro,FRA,DF,17,2005,29.7,5,0,0,20,16,0,1,36,25,0,1,1,124,44,25,63.8,misc
FRA-Ligue 1,2023,Lille,Lucas Chevalier,FRA,GK,21,2001,33.0,1,0,0,1,7,0,0,0,0,0,1,0,54,4,0,100.0,misc
FRA-Ligue 1,2023,Lille,Nabil Bentaleb,ALG,MF,28,1994,21.9,7,0,0,23,18,0,6,37,32,0,1,0,142,24,13,64.9,misc
FRA-Ligue 1,2023,Lille,Rémy Cabella,FRA,"FW,MF",33,1990,16.4,0,0,0,16,38,3,51,5,36,0,0,0,87,7,17,29.2,misc
FRA-Ligue 1,2023,Lille,Samuel Umtiti,FRA,DF,29,1993,2.1,0,0,0,3,1,0,0,2,1,0,0,0,9,1,1,50.0,misc
FRA-Ligue 1,2023,Lille,Tiago Fonseca Morais,POR,FW,19,2003,0.5,0,0,0,1,0,0,1,1,1,0,0,0,3,0,0,,misc
FRA-Ligue 1,2023,Lille,Tiago Santos,POR,DF,21,2002,26.3,6,0,0,38,87,0,83,15,42,0,1,0,127,12,23,34.3,misc
FRA-Ligue 1,2023,Lille,Trévis Dago,CIV,"FW,MF",18,2005,0.3,1,0,0,2,1,0,1,1,0,0,0,0,1,1,1,50.0,misc
FRA-Ligue 1,2023,Lille,Vito Mannone,ITA,GK,35,1988,1.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,,misc
FRA-Ligue 1,2023,Lille,Yusuf Yazıcı,TUR,"MF,FW",26,1997,14.6,5,0,0,19,14,4,19,5,11,0,0,0,56,5,14,26.3,misc
FRA-Ligue 1,2023,Lorient,Adrian Grbić,AUT,FW,26,1996,0.3,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,66.7,misc
FRA-Ligue 1,2023,Lorient,Aurélien Pelon,FRA,DF,19,2004,1.0,1,0,0,1,0,0,0,0,0,0,0,0,2,1,0,100.0,misc
FRA-Ligue 1,2023,Lorient,Ayman Kari,FRA,MF,18,2004,9.9,1,0,0,10,28,0,1,6,14,0,0,0,50,2,7,22.2,misc
FRA-Ligue 1,2023,Lorient,Badredine Bouanani,ALG,MF,18,2004,4.9,0,0,0,1,10,0,10,2,2,0,0,0,18,0,3,0.0,misc
FRA-Ligue 1,2023,Lorient,Bamba Dieng,SEN,FW,23,2000,6.1,3,0,0,7,19,6,5,0,3,0,0,0,12,17,19,47.2,misc
FRA-Ligue 1,2023,Lorient,Bamo Meïté,CIV,DF,21,2001,1.6,0,0,0,0,1,0,0,3,1,0,0,0,6,1,2,33.3,misc
FRA-Ligue 1,2023,Lorient,Bassirou Ndiaye,SEN,FW,21,2002,1.7,0,0,0,5,5,0,1,1,2,0,0,0,9,3,5,37.5,misc
FRA-Ligue 1,2023,Lorient,Benjamin Mendy,FRA,DF,29,1994,7.9,3,0,0,12,4,4,96,7,1,0,0,0,31,4,7,36.4,misc
FRA-Ligue 1,2023,Lorient,Bonke Innocent,NGA,MF,27,1996,2.3,1,0,0,5,4,0,0,4,4,0,0,0,11,3,2,60.0,misc
FRA-Ligue 1,2023,Lorient,Darlin Yongwa,CMR,DF,22,2000,12.9,3,0,0,21,32,3,76,15,23,0,1,0,88,11,11,50.0,misc
FRA-Ligue 1,2023,Lorient,Dembo Sylla,GUI,DF,20,2002,0.5,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,,misc
FRA-Ligue 1,2023,Lorient,Eli Junior Kroupi,FRA,"FW,MF",17,2006,12.0,1,0,0,16,8,8,14,10,4,0,0,0,35,8,21,27.6,misc
FRA-Ligue 1,2023,Lorient,Formose Mendy,SEN,DF,22,2001,14.0,6,0,0,16,11,0,13,20,19,0,2,1,90,43,15,74.1,misc
FRA-Ligue 1,2023,Lorient,Gedeon Kalulu,COD,DF,25,1997,10.8,0,0,0,18,7,0,21,5,17,0,0,0,60,10,11,47.6,misc
FRA-Ligue 1,2023,Lorient,Gino Caoki,FRA,MF,19,2004,0.1,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,,misc
FRA-Ligue 1,2023,Lorient,Ibrahima Koné,MLI,FW,24,1999,0.4,0,0,0,0,1,0,0,0,0,0,0,0,1,3,1,75.0,misc
FRA-Ligue 1,2023,Lorient,Igor Carioca,BRA,"DF,MF",26,1996,2.9,2,0,0,7,4,0,10,3,6,0,2,0,18,4,5,44.4,misc
FRA-Ligue 1,2023,Lorient,Imran Louza,MAR,MF,24,1999,9.6,1,0,0,16,15,0,53,9,7,0,0,0,57,9,8,52.9,misc
FRA-Ligue 1,2023,Lorient,Jean-Victor Makengo,FRA,"MF,FW",25,1998,5.3,0,0,0,7,7,0,5,8,4,0,0,0,29,2,2,50.0,misc
FRA-Ligue 1,2023,Lorient,Joel Mvuka,NOR,"DF,FW",20,2002,2.2,1,0,0,1,5,1,12,2,3,0,0,0,11,0,2,0.0,misc
