league,season,team,player,nation,pos,age,born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,stat_type
FRA-Ligue 1,2024,Lens,Abdukodir Khusanov,UZB,DF,21-041,2004.0,10.8,15,11,9,5,1,7,11,63.6,4,17,11,6,26,41,57,0,defense
FRA-Ligue 1,2024,Lens,Adrien Thomasson,FRA,MF,31-122,1993.0,23.2,76,42,36,23,17,47,82,57.3,35,35,3,32,17,93,24,1,defense
FRA-Ligue 1,2024,Lens,Anass Zaroury,MAR,"FW,MF",24-155,2000.0,11.2,16,14,4,9,3,7,19,36.8,12,7,0,7,4,20,10,0,defense
FRA-Ligue 1,2024,Lens,Andy Diouf,FRA,MF,21-329,2003.0,19.7,34,23,9,20,5,13,32,40.6,19,21,1,20,11,45,15,2,defense
FRA-Ligue 1,2024,Lens,Angelo Fulgini,FRA,"MF,FW",28-234,1996.0,10.3,13,9,6,4,3,6,16,37.5,10,11,1,10,2,15,3,0,defense
FRA-Ligue 1,2024,Lens,Brice Samba,FRA,GK,30-351,1994.0,15.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,2,defense
FRA-Ligue 1,2024,Lens,David Costa,POR,"MF,FW",24-096,2001.0,3.9,2,0,1,1,0,1,4,25.0,3,5,1,4,1,3,0,0,defense
FRA-Ligue 1,2024,Lens,Deiver Machado,COL,"DF,MF",31-221,1993.0,17.1,32,23,13,13,6,16,26,61.5,10,18,3,15,15,47,24,1,defense
FRA-Ligue 1,2024,Lens,Facundo Medina,ARG,DF,25-318,1999.0,23.3,39,25,18,17,4,20,32,62.5,12,28,9,19,30,69,50,0,defense
FRA-Ligue 1,2024,Lens,Florian Sotoca,FRA,"FW,MF",34-168,1990.0,18.1,21,13,3,7,11,11,21,52.4,10,12,2,10,12,33,25,0,defense
FRA-Ligue 1,2024,Lens,Gabin Capuano,FRA,FW,18-350,2006.0,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
FRA-Ligue 1,2024,Lens,Goduine Koyalipou,CTA,FW,25-055,2000.0,4.8,1,1,0,1,0,0,0,,0,0,0,0,0,1,4,0,defense
FRA-Ligue 1,2024,Lens,Hamzat Ojediran,NGA,"MF,FW",21-148,2003.0,4.2,25,13,11,12,2,5,15,33.3,10,10,2,8,10,35,7,0,defense
FRA-Ligue 1,2024,Lens,Hervé Koffi,BFA,GK,28-177,1996.0,5.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,5,0,defense
FRA-Ligue 1,2024,Lens,Jeremy Agbonifo,SWE,"FW,MF",19-169,2005.0,2.2,4,3,4,0,0,2,3,66.7,1,1,0,1,1,5,0,1,defense
