league,season,team,player,nation,pos,age,born,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,stat_type
,,,,,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,
ESP-La Liga,2022,Barcelona,Sergi Roberto,ESP,"DF,MF",30,1992,14.5,3,0,0,19,12,2,25,11,15,0,0,0,62,7,12,36.8,misc
ESP-La Liga,2022,Barcelona,Sergio Busquets,ESP,MF,34,1988,26.0,8,1,1,31,40,0,7,27,26,0,0,0,187,53,59,47.3,misc
ESP-La Liga,2022,Barcelona,Ángel Alarcón,ESP,"FW,MF",18,2004,0.3,0,0,0,2,1,0,1,0,0,0,0,0,1,0,1,0.0,misc
ESP-La Liga,2022,Betis,Abner,BRA,DF,22,2000,6.7,2,0,0,8,2,0,13,8,9,0,1,0,43,9,16,36.0,misc
ESP-La Liga,2022,Betis,Aitor Ruibal,ESP,"DF,FW",26,1996,16.2,4,1,0,22,18,3,31,24,29,0,0,0,102,14,18,43.8,misc
ESP-La Liga,2022,Betis,Andrés Guardado,MEX,MF,35,1986,15.3,7,0,0,16,10,0,9,23,25,0,0,0,121,17,29,37.0,misc
ESP-La Liga,2022,Betis,Ayoze Pérez,ESP,"FW,MF",29,1993,15.4,3,0,0,32,29,2,7,13,15,2,0,0,67,8,24,25.0,misc
ESP-La Liga,2022,Betis,Borja Iglesias,ESP,FW,29,1993,26.3,2,1,0,40,52,22,0,1,4,0,0,0,46,24,44,35.3,misc
ESP-La Liga,2022,Betis,Claudio Bravo,CHI,GK,39,1983,12.0,2,0,0,0,0,0,0,2,0,0,0,0,14,3,0,100.0,misc
ESP-La Liga,2022,Betis,Felix Garreta,ESP,DF,18,2004,1.0,0,0,0,2,1,0,0,1,0,0,0,0,3,1,1,50.0,misc
ESP-La Liga,2022,Betis,Fran Delgado,ESP,DF,21,2001,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,misc
ESP-La Liga,2022,Betis,Germán Pezzella,ARG,DF,31,1991,27.9,4,3,0,27,17,1,2,50,28,0,0,0,108,73,31,70.2,misc
ESP-La Liga,2022,Betis,Guido Rodríguez,ARG,MF,28,1994,31.9,8,0,0,45,64,1,9,42,75,0,0,1,213,44,46,48.9,misc
ESP-La Liga,2022,Betis,Joaquín,ESP,"MF,FW",41,1981,5.5,2,0,0,1,8,1,31,4,3,0,0,0,25,1,5,16.7,misc
ESP-La Liga,2022,Betis,Juan Cruz,ESP,FW,22,2000,2.0,1,0,0,4,2,1,6,0,0,0,0,0,8,1,2,33.3,misc
ESP-La Liga,2022,Betis,Juan Miranda,ESP,DF,22,2000,16.4,1,1,0,15,20,1,73,20,16,0,1,0,78,21,17,55.3,misc
ESP-La Liga,2022,Betis,Juanmi,ESP,FW,29,1993,10.3,3,0,0,15,22,15,0,4,10,0,0,0,45,9,16,36.0,misc
ESP-La Liga,2022,Betis,Loren Morón,ESP,FW,28,1993,0.2,1,0,0,2,0,0,0,0,2,0,0,0,1,0,2,0.0,misc
ESP-La Liga,2022,Betis,Luiz Felipe,ITA,DF,25,1997,19.6,3,3,0,10,10,0,2,28,23,0,0,0,80,31,36,46.3,misc
ESP-La Liga,2022,Betis,Luiz Henrique,BRA,FW,21,2001,20.1,6,0,0,25,41,5,31,14,34,0,0,0,127,27,41,39.7,misc
ESP-La Liga,2022,Betis,Martín Montoya,ESP,DF,31,1991,5.0,1,0,0,4,6,0,10,9,8,0,0,0,24,8,3,72.7,misc
ESP-La Liga,2022,Betis,Nabil Fekir,FRA,MF,29,1993,10.7,4,1,0,21,39,7,48,1,5,1,0,0,31,8,11,42.1,misc
ESP-La Liga,2022,Betis,Paul Akouokou,CIV,"MF,DF",24,1997,5.0,3,0,0,7,4,0,0,12,9,0,0,0,27,6,7,46.2,misc
ESP-La Liga,2022,Betis,Roberto González,ESP,"FW,MF",21,2001,0.6,1,0,0,1,4,0,5,1,0,0,0,0,0,0,0,,misc
ESP-La Liga,2022,Betis,Rodri,ESP,"FW,MF",22,2000,17.8,0,0,0,6,39,2,47,13,11,1,0,0,102,2,12,14.3,misc
ESP-La Liga,2022,Betis,Rui Silva,POR,GK,28,1994,26.0,2,0,0,0,2,0,0,0,1,0,0,0,43,6,1,85.7,misc
ESP-La Liga,2022,Betis,Sergio Canales,ESP,"FW,MF",31,1991,26.7,4,2,1,9,32,4,135,14,14,0,0,0,121,13,24,35.1,misc
ESP-La Liga,2022,Betis,Víctor Ruiz,ESP,DF,33,1989,6.2,0,0,0,4,2,1,0,6,3,0,0,0,29,17,7,70.8,misc
ESP-La Liga,2022,Betis,William Carvalho,POR,MF,30,1992,27.1,6,1,0,29,40,2,5,16,27,0,0,0,159,32,27,54.2,misc
ESP-La Liga,2022,Betis,Willian José,BRA,FW,30,1991,8.1,1,0,0,9,6,3,4,1,6,0,0,0,31,16,20,44.4,misc
ESP-La Liga,2022,Betis,Youssouf Sabaly,SEN,DF,29,1993,18.7,2,0,0,20,33,2,17,19,23,0,0,0,109,5,11,31.3,misc
ESP-La Liga,2022,Betis,Álex Moreno,ESP,DF,29,1993,15.0,1,0,0,17,19,1,28,17,22,0,1,0,78,9,18,33.3,misc
ESP-La Liga,2022,Betis,Édgar González,ESP,DF,25,1997,19.7,8,2,2,23,13,0,0,21,19,0,0,0,83,48,33,59.3,misc
ESP-La Liga,2022,Celta Vigo,Agustín Marchesín,ARG,GK,34,1988,19.0,2,0,0,0,4,0,0,0,0,0,0,0,22,3,0,100.0,misc
ESP-La Liga,2022,Celta Vigo,Augusto Solari,ARG,MF,30,1992,2.9,0,0,0,9,4,0,3,4,6,0,0,0,18,4,3,57.1,misc
ESP-La Liga,2022,Celta Vigo,Carles Pérez,ESP,"MF,FW",24,1998,23.8,5,0,0,35,37,9,36,6,23,1,0,0,110,6,40,13.0,misc
ESP-La Liga,2022,Celta Vigo,Carlos Dominguez,ESP,DF,21,2001,1.2,0,0,0,0,0,0,0,0,1,0,0,0,9,1,0,100.0,misc
ESP-La Liga,2022,Celta Vigo,Fernando Medrano,ESP,DF,22,2000,0.1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,,misc
ESP-La Liga,2022,Celta Vigo,Fran Beltrán,ESP,MF,23,1999,31.7,4,0,0,26,16,2,51,53,22,0,1,0,196,18,48,27.3,misc
ESP-La Liga,2022,Celta Vigo,Franco Cervi,ARG,"MF,DF",28,1994,21.0,2,1,0,27,42,2,113,36,46,0,0,0,145,12,25,32.4,misc
ESP-La Liga,2022,Celta Vigo,Gabriel Veiga,ESP,MF,20,2002,25.5,6,1,0,42,41,4,27,21,19,0,0,0,132,19,17,52.8,misc
ESP-La Liga,2022,Celta Vigo,Gonçalo Paciência,POR,"FW,MF",27,1994,7.4,2,1,0,19,17,0,6,0,5,0,0,0,20,29,23,55.8,misc
ESP-La Liga,2022,Celta Vigo,Haris Seferović,SUI,FW,30,1992,9.9,3,0,0,4,7,14,21,1,3,0,0,0,24,19,19,50.0,misc
ESP-La Liga,2022,Celta Vigo,Hugo Mallo,ESP,DF,31,1991,24.0,6,1,1,44,23,6,67,24,29,0,1,0,124,52,46,53.1,misc
ESP-La Liga,2022,Celta Vigo,Hugo Sotelo,ESP,MF,18,2003,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,misc
ESP-La Liga,2022,Celta Vigo,Iago Aspas,ESP,FW,34,1987,31.9,6,0,0,16,59,12,45,7,4,0,0,0,103,31,45,40.8,misc
ESP-La Liga,2022,Celta Vigo,Iván Villar,ESP,GK,25,1997,19.0,0,0,0,0,2,0,0,0,0,0,0,0,23,2,1,66.7,misc
ESP-La Liga,2022,Celta Vigo,Javi Galán,ESP,DF,27,1994,35.1,6,0,0,50,73,8,162,41,72,0,1,0,211,33,24,57.9,misc
ESP-La Liga,2022,Celta Vigo,Joseph Aidoo,GHA,DF,26,1995,34.7,6,1,1,18,18,0,2,31,36,0,1,0,214,63,63,50.0,misc
ESP-La Liga,2022,Celta Vigo,Jørgen Strand Larsen,NOR,FW,22,2000,18.9,4,0,0,34,43,13,4,3,7,1,0,0,42,42,47,47.2,misc
ESP-La Liga,2022,Celta Vigo,Kevin Vázquez,ESP,"DF,MF",29,1993,4.9,2,0,0,8,5,1,7,2,8,0,0,0,28,2,6,25.0,misc
ESP-La Liga,2022,Celta Vigo,Luca de la Torre,USA,MF,24,1998,16.5,6,0,0,33,12,4,21,9,19,0,0,0,98,5,23,17.9,misc
ESP-La Liga,2022,Celta Vigo,Miguel Rodríguez,ESP,"MF,FW",19,2003,2.8,0,0,0,6,8,1,13,1,5,0,0,0,16,1,8,11.1,misc
ESP-La Liga,2022,Celta Vigo,Pablo Durán,ESP,"MF,DF",21,2001,0.4,0,0,0,1,0,1,1,1,0,0,0,0,3,1,1,50.0,misc
ESP-La Liga,2022,Celta Vigo,Renato Tapia,PER,"MF,DF",27,1995,16.1,8,1,1,29,16,0,11,19,25,0,1,0,80,26,18,59.1,misc
