nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,league,season,stat_type
,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,,,
COL,DF,28,1994,14,14,1215,13.5,2,0,2,1,1,1,4,0,1.3,0.5,0.0,0.5,4,23,3,0.15,0.0,0.15,0.07,0.07,0.1,0.0,0.1,0.04,0.04,ITA-Serie A,2023,standard
ANG,"FW,MF",21,2002,30,19,1946,21.6,4,5,9,4,0,0,5,0,4.0,4.0,3.1,7.1,85,21,181,0.18,0.23,0.42,0.18,0.42,0.18,0.14,0.33,0.18,0.33,ITA-Serie A,2023,standard
ITA,FW,27,1996,12,10,545,6.1,1,0,1,1,0,0,2,0,1.2,1.2,0.2,1.4,3,9,23,0.17,0.0,0.17,0.17,0.17,0.19,0.04,0.23,0.19,0.23,ITA-Serie A,2023,standard
ITA,MF,28,1995,27,22,1807,20.1,0,1,1,0,0,0,6,1,1.1,1.1,0.6,1.7,13,75,13,0.0,0.05,0.05,0.0,0.05,0.05,0.03,0.09,0.05,0.09,ITA-Serie A,2023,standard
ITA,MF,18,2004,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ITA-Serie A,2023,standard
ALB,DF,26,1996,26,23,2045,22.7,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.4,9,49,3,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.02,0.01,0.02,ITA-Serie A,2023,standard
POL,DF,31,1992,24,22,1762,19.6,0,1,1,0,0,0,3,0,0.1,0.1,0.3,0.4,15,69,18,0.0,0.05,0.05,0.0,0.05,0.0,0.02,0.02,0.0,0.02,ITA-Serie A,2023,standard
ITA,"FW,MF",21,2001,7,3,263,2.9,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,7,10,10,0.0,0.0,0.0,0.0,0.0,0.1,0.01,0.12,0.1,0.12,ITA-Serie A,2023,standard
ITA,GK,21,2001,23,23,2070,23.0,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,ITA-Serie A,2023,standard
SWE,FW,21,2002,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.19,0.0,0.19,ITA-Serie A,2023,standard
GHA,"DF,FW",29,1994,33,21,1879,20.9,1,2,3,1,0,0,8,0,3.5,3.5,1.5,5.0,15,41,60,0.05,0.1,0.14,0.05,0.14,0.17,0.07,0.24,0.17,0.24,ITA-Serie A,2023,standard
ALB,GK,34,1989,14,14,1260,14.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ITA-Serie A,2023,standard
ITA,"MF,DF",22,2001,9,5,476,5.3,0,0,0,0,0,0,3,0,0.2,0.2,0.5,0.8,5,21,11,0.0,0.0,0.0,0.0,0.0,0.04,0.1,0.14,0.04,0.14,ITA-Serie A,2023,standard
ITA,FW,35,1987,20,15,1268,14.1,3,0,3,2,1,1,0,0,3.4,2.6,0.7,3.4,7,18,65,0.21,0.0,0.21,0.14,0.14,0.24,0.05,0.3,0.19,0.24,ITA-Serie A,2023,standard
ITA,FW,19,2004,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ITA-Serie A,2023,standard
ITA,DF,25,1997,19,14,1085,12.1,0,0,0,0,0,0,4,0,0.2,0.2,0.5,0.6,44,44,36,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.05,0.01,0.05,ITA-Serie A,2023,standard
ITA,MF,20,2003,31,14,1232,13.7,1,1,2,1,0,0,6,0,1.2,1.2,2.3,3.5,24,47,51,0.07,0.07,0.15,0.07,0.15,0.09,0.16,0.26,0.09,0.26,ITA-Serie A,2023,standard
SCO,MF,27,1996,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ITA-Serie A,2023,standard
NZL,DF,22,2000,31,18,1912,21.2,0,1,1,0,0,0,6,0,0.4,0.4,1.7,2.1,34,84,55,0.0,0.05,0.05,0.0,0.05,0.02,0.08,0.1,0.02,0.1,ITA-Serie A,2023,standard
SEN,FW,28,1994,14,5,708,7.9,6,1,7,2,4,4,1,0,5.4,2.3,0.9,3.2,13,11,43,0.76,0.13,0.89,0.25,0.38,0.68,0.12,0.8,0.29,0.41,ITA-Serie A,2023,standard
ITA,"FW,MF",21,2002,36,18,1788,19.9,4,3,7,4,0,0,7,0,4.7,4.7,2.9,7.6,48,26,138,0.2,0.15,0.35,0.2,0.35,0.24,0.15,0.38,0.24,0.38,ITA-Serie A,2023,standard
