nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,league,season,stat_type
,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,,,
FRA,"MF,FW",27,1993,29.1,5,83,24,28.9,2.85,0.82,0.05,0.17,21.9,9,1,3,7.0,4.6,0.06,-2.0,-0.6,ESP-La Liga,2020,shooting
CIV,MF,22,1997,4.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ESP-La Liga,2020,shooting
ESP,"FW,MF",20,2000,6.0,0,5,0,0.0,0.84,0.0,0.0,,21.2,0,0,0,0.2,0.2,0.05,-0.2,-0.2,ESP-La Liga,2020,shooting
ESP,"MF,FW",29,1991,27.8,8,44,10,22.7,1.59,0.36,0.14,0.6,22.4,5,2,3,5.3,2.9,0.07,2.7,3.1,ESP-La Liga,2020,shooting
BRA,DF,30,1989,7.7,0,1,0,0.0,0.13,0.0,0.0,,4.7,0,0,0,0.3,0.3,0.32,-0.3,-0.3,ESP-La Liga,2020,shooting
ESP,DF,31,1989,24.0,2,4,4,100.0,0.17,0.17,0.5,0.5,11.5,0,0,0,1.5,1.5,0.38,0.5,0.5,ESP-La Liga,2020,shooting
POR,MF,28,1992,13.6,2,15,6,40.0,1.1,0.44,0.13,0.33,18.0,0,0,0,1.2,1.2,0.08,0.8,0.8,ESP-La Liga,2020,shooting
ESP,DF,27,1993,19.8,0,11,3,27.3,0.55,0.15,0.0,0.0,18.7,0,0,0,0.9,0.9,0.08,-0.9,-0.9,ESP-La Liga,2020,shooting
ESP,DF,23,1997,17.1,0,5,1,20.0,0.29,0.06,0.0,0.0,22.4,0,0,0,0.2,0.2,0.03,-0.2,-0.2,ESP-La Liga,2020,shooting
ESP,MF,21,1999,0.4,0,1,1,100.0,2.65,2.65,0.0,0.0,15.0,0,0,0,0.1,0.1,0.06,-0.1,-0.1,ESP-La Liga,2020,shooting
ARG,MF,28,1992,5.4,2,5,3,60.0,0.93,0.56,0.4,0.67,23.7,0,0,0,1.1,1.1,0.22,0.9,0.9,ESP-La Liga,2020,shooting
ESP,"MF,FW",23,1997,29.7,9,49,21,42.9,1.65,0.71,0.16,0.38,16.1,1,1,1,8.2,7.4,0.15,0.8,0.6,ESP-La Liga,2020,shooting
ESP,DF,19,2001,4.0,0,1,1,100.0,0.25,0.25,0.0,0.0,8.4,0,0,0,0.1,0.1,0.12,-0.1,-0.1,ESP-La Liga,2020,shooting
ESP,MF,26,1994,31.7,0,16,3,18.8,0.5,0.09,0.0,0.0,23.1,1,0,0,1.1,1.1,0.07,-1.1,-1.1,ESP-La Liga,2020,shooting
TUR,"FW,MF",23,1997,5.6,0,8,2,25.0,1.44,0.36,0.0,0.0,18.9,0,0,0,0.4,0.4,0.05,-0.4,-0.4,ESP-La Liga,2020,shooting
ARG,FW,29,1991,3.3,1,7,2,28.6,2.1,0.6,0.14,0.5,12.5,0,0,0,1.5,1.5,0.22,-0.5,-0.5,ESP-La Liga,2020,shooting
ESP,"MF,FW",21,1999,15.5,3,19,7,36.8,1.22,0.45,0.16,0.43,22.2,0,0,0,1.2,1.2,0.06,1.8,1.8,ESP-La Liga,2020,shooting
ESP,"MF,DF",18,2002,1.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ESP-La Liga,2020,shooting
ESP,DF,29,1991,28.9,3,20,11,55.0,0.69,0.38,0.15,0.27,14.2,0,0,0,2.6,2.6,0.13,0.4,0.4,ESP-La Liga,2020,shooting
ESP,MF,16,2003,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ESP-La Liga,2020,shooting
