league,season,team,player,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,stat_type
,,,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,
GER-Bundesliga,2024,Bayern Munich,Serge Gnabry,GER,"FW,MF",29-271,1995,21,9,870,9.7,5,3,8,5,0,1,0,0,6.3,5.5,4.1,9.7,37,37,123,0.52,0.31,0.83,0.52,0.83,0.66,0.43,1.08,0.58,1.0,standard
GER-Bundesliga,2024,Bayern Munich,Sven Ulreich,GER,GK,36-251,1988,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard
GER-Bundesliga,2024,Bayern Munich,Thomas Müller,GER,"MF,FW",35-210,1989,24,8,907,10.1,1,3,4,1,0,0,3,0,3.0,3.0,2.3,5.3,17,45,106,0.1,0.3,0.4,0.1,0.4,0.29,0.23,0.52,0.29,0.52,standard
GER-Bundesliga,2024,Bochum,Aliou Badara Baldé,GUI,"MF,FW",22-120,2002,5,0,91,1.0,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,2,1,5,0.0,0.0,0.0,0.0,0.0,0.18,0.17,0.35,0.18,0.35,standard
GER-Bundesliga,2024,Bochum,Anthony Losilla,FRA,MF,39-032,1986,19,13,1083,12.0,0,0,0,0,0,0,1,0,0.1,0.1,0.4,0.5,3,42,11,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,standard
GER-Bundesliga,2024,Bochum,Bernardo,BRA,DF,29-332,1995,15,13,1242,13.8,0,0,0,0,0,0,5,0,0.6,0.6,0.7,1.3,13,72,9,0.0,0.0,0.0,0.0,0.0,0.04,0.05,0.09,0.04,0.09,standard
GER-Bundesliga,2024,Bochum,Cristian Gamboa,CRC,DF,35-169,1989,10,0,162,1.8,1,0,1,1,0,0,0,0,0.2,0.2,0.2,0.3,2,5,6,0.56,0.0,0.56,0.56,0.56,0.09,0.1,0.19,0.09,0.19,standard
GER-Bundesliga,2024,Bochum,Dani de Wit,NED,"MF,FW",27-073,1998,24,11,1063,11.8,2,0,2,2,0,0,1,0,1.8,1.8,0.4,2.2,4,26,34,0.17,0.0,0.17,0.17,0.17,0.15,0.04,0.19,0.15,0.19,standard
GER-Bundesliga,2024,Bochum,Erhan Mašović,SRB,DF,26-140,1998,15,10,897,10.0,1,1,2,1,0,0,1,0,0.6,0.6,0.9,1.5,1,34,3,0.1,0.1,0.2,0.1,0.2,0.06,0.09,0.15,0.06,0.15,standard
GER-Bundesliga,2024,Bochum,Felix Passlack,GER,"DF,MF",26-317,1998,25,25,1953,21.7,1,4,5,1,0,0,4,0,1.1,1.1,2.5,3.6,38,59,96,0.05,0.18,0.23,0.05,0.23,0.05,0.12,0.17,0.05,0.17,standard
GER-Bundesliga,2024,Bochum,Gerrit Holtmann,PHI,"DF,FW",30-017,1995,18,11,978,10.9,1,1,2,1,0,0,2,0,1.8,1.8,2.3,4.1,41,27,75,0.09,0.09,0.18,0.09,0.18,0.16,0.22,0.38,0.16,0.38,standard
GER-Bundesliga,2024,Bochum,Giorgos Masouras,GRE,"FW,MF",31-100,1994,8,7,608,6.8,2,1,3,2,0,0,0,0,2.9,2.9,0.9,3.7,15,11,44,0.3,0.15,0.44,0.3,0.44,0.42,0.13,0.55,0.42,0.55,standard
GER-Bundesliga,2024,Bochum,Ibrahima Sissoko,MLI,MF,27-166,1997,27,25,2219,24.7,2,1,3,2,0,0,8,0,1.3,1.3,0.9,2.2,31,92,54,0.08,0.04,0.12,0.08,0.12,0.05,0.04,0.09,0.05,0.09,standard
GER-Bundesliga,2024,Bochum,Ivan Ordets,UKR,DF,32-277,1992,19,18,1592,17.7,0,0,0,0,0,0,4,0,0.6,0.6,0.1,0.7,2,42,4,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,standard
GER-Bundesliga,2024,Bochum,Jakov Medić,CRO,DF,26-216,1998,19,14,1339,14.9,1,0,1,1,0,0,2,0,0.7,0.7,0.2,0.8,2,18,3,0.07,0.0,0.07,0.07,0.07,0.05,0.01,0.06,0.05,0.06,standard
GER-Bundesliga,2024,Bochum,Koji Miyoshi,JPN,"FW,MF",28-016,1997,14,6,450,5.0,1,0,1,1,0,0,0,1,1.1,1.1,0.8,1.9,11,14,23,0.2,0.0,0.2,0.2,0.2,0.22,0.15,0.38,0.22,0.38,standard
GER-Bundesliga,2024,Bochum,Lukas Daschner,GER,"MF,FW",26-192,1998,14,3,412,4.6,1,1,2,1,0,1,0,0,2.7,1.9,0.7,2.6,8,11,19,0.22,0.22,0.44,0.22,0.44,0.6,0.15,0.74,0.42,0.57,standard
GER-Bundesliga,2024,Bochum,Mats Pannewig,GER,MF,20-165,2004,10,1,139,1.5,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.4,2,8,10,0.0,0.0,0.0,0.0,0.0,0.16,0.07,0.23,0.16,0.23,standard
GER-Bundesliga,2024,Bochum,Matúš Bero,SVK,MF,29-217,1995,25,24,2160,24.0,4,2,6,4,0,0,9,0,2.9,2.9,3.2,6.1,21,115,87,0.17,0.08,0.25,0.17,0.25,0.12,0.13,0.25,0.12,0.25,standard
