league,season,team,player,nation,pos,age,born,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP,stat_type
,,,,,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,,
GER-Bundesliga,2024,Dortmund,Felix Nmecha,GER,MF,24-183,2000,12.8,619,706,87.7,11296,2796,272,295,92.2,271,298,90.9,66,83,79.5,1,0.8,0.5,0.2,9,74,9,0,64,passing
GER-Bundesliga,2024,Dortmund,Gio Reyna,USA,MF,22-149,2002,3.6,136,176,77.3,1939,546,85,99,85.9,39,52,75.0,9,16,56.3,0,0.2,0.6,-0.2,2,14,5,3,18,passing
GER-Bundesliga,2024,Dortmund,Gregor Kobel,SUI,GK,27-126,1997,26.0,812,1010,80.4,19241,12983,205,207,99.0,432,435,99.3,173,364,47.5,0,0.0,0.0,0.0,1,4,0,0,0,passing
GER-Bundesliga,2024,Dortmund,Jamie Gittens,ENG,"FW,MF",20-246,2004,18.1,381,506,75.3,5320,940,242,279,86.7,104,135,77.0,18,37,48.6,3,2.5,4.1,0.5,20,16,22,4,37,passing
GER-Bundesliga,2024,Dortmund,Julian Brandt,GER,MF,28-344,1996,21.0,796,1006,79.1,12297,3240,433,494,87.7,280,346,80.9,55,100,55.0,6,6.8,5.7,-0.8,51,78,38,6,120,passing
GER-Bundesliga,2024,Dortmund,Julian Ryerson,NOR,DF,27-145,1997,20.0,1047,1215,86.2,17364,4543,497,533,93.2,465,504,92.3,67,125,53.6,2,3.4,4.0,-1.4,29,75,26,19,78,passing
GER-Bundesliga,2024,Dortmund,Julien Duranville,BEL,"FW,MF",18-341,2006,2.9,54,79,68.4,808,171,36,43,83.7,15,26,57.7,3,7,42.9,0,0.3,0.9,-0.3,1,3,1,1,7,passing
GER-Bundesliga,2024,Dortmund,Karim Adeyemi,GER,"FW,MF",23-083,2002,12.9,256,341,75.1,3780,751,142,174,81.6,88,105,83.8,13,19,68.4,4,5.3,3.6,-1.3,24,9,17,1,25,passing
GER-Bundesliga,2024,Dortmund,Kjell-Arik Wätjen,GER,MF,19-054,2006,0.2,3,8,37.5,42,16,2,4,50.0,1,3,33.3,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,passing
GER-Bundesliga,2024,Dortmund,Marcel Sabitzer,AUT,"MF,FW",31-025,1994,16.4,616,738,83.5,9359,2655,343,370,92.7,223,261,85.4,32,61,52.5,0,1.1,1.3,-1.1,11,67,11,2,90,passing
