nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,league,season,stat_type
,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,,,
FIN,FW,22-339,2002,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,FRA-Ligue 1,2024,shooting
GER,MF,27-041,1998,2.3,0,3,1,33.3,1.32,0.44,0.0,0.0,25.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1,FRA-Ligue 1,2024,shooting
FRA,"MF,FW",19-189,2005,1.4,2,5,3,60.0,3.46,2.08,0.4,0.67,10.2,0,0,0,1.3,1.3,0.26,0.7,0.7,FRA-Ligue 1,2024,shooting
FRA,DF,21-348,2003,4.0,0,4,0,0.0,1.0,0.0,0.0,,15.1,0,0,0,0.3,0.3,0.07,-0.3,-0.3,FRA-Ligue 1,2024,shooting
DEN,DF,28-026,1997,6.9,0,5,0,0.0,0.72,0.0,0.0,,8.7,0,0,0,0.4,0.4,0.09,-0.4,-0.4,FRA-Ligue 1,2024,shooting
GAB,"MF,FW",24-314,2000,13.0,4,19,9,47.4,1.47,0.69,0.21,0.44,14.8,0,0,0,3.4,3.4,0.18,0.6,0.6,FRA-Ligue 1,2024,shooting
SUI,MF,29-185,1995,20.7,5,20,3,15.0,0.96,0.14,0.15,1.0,20.2,0,2,2,3.4,1.8,0.09,1.6,1.2,FRA-Ligue 1,2024,shooting
NOR,"DF,MF",24-151,2000,8.8,0,4,0,0.0,0.45,0.0,0.0,,15.9,0,0,0,0.4,0.4,0.09,-0.4,-0.4,FRA-Ligue 1,2024,shooting
FRA,"MF,FW",24-087,2001,21.0,2,41,20,48.8,1.95,0.95,0.05,0.1,15.6,0,0,0,4.5,4.5,0.11,-2.5,-2.5,FRA-Ligue 1,2024,shooting
MAR,"MF,FW",25-052,2000,20.3,7,59,24,40.7,2.91,1.18,0.1,0.25,14.5,0,1,2,10.1,8.5,0.14,-3.1,-2.5,FRA-Ligue 1,2024,shooting
ESP,GK,26-255,1998,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,FRA-Ligue 1,2024,shooting
ROU,DF,21-187,2003,4.8,0,2,0,0.0,0.41,0.0,0.0,,24.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1,FRA-Ligue 1,2024,shooting
