nation,pos,age,born,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP,league,season,stat_type
,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,,,,
UKR,GK,26-059,1999,5.0,143,165,86.7,3544,2225,36,37,97.3,69,69,100.0,37,58,63.8,1,0.9,0.0,0.1,1,1,0,0,0,ESP-La Liga,2024,passing
GER,DF,32-039,1993,23.5,1588,1729,91.8,29948,9809,589,609,96.7,823,864,95.3,157,222,70.7,0,0.2,0.6,-0.2,6,107,5,1,84,ESP-La Liga,2024,passing
TUR,"MF,FW",20-045,2005,7.9,403,467,86.3,6565,1556,217,235,92.3,140,158,88.6,35,50,70.0,3,2.3,2.8,0.7,23,45,18,3,54,ESP-La Liga,2024,passing
FRA,"DF,MF",25-074,2000,23.3,1518,1641,92.5,26774,8942,622,651,95.5,768,812,94.6,112,146,76.7,0,0.5,0.7,-0.5,4,146,7,1,131,ESP-La Liga,2024,passing
MAR,"FW,MF",25-251,1999,12.9,474,548,86.5,6115,1543,322,354,91.0,123,140,87.9,11,17,64.7,2,2.5,1.9,-0.5,18,45,15,0,60,ESP-La Liga,2024,passing
ESP,MF,19-351,2005,0.1,1,1,100.0,16,0,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,ESP-La Liga,2024,passing
ESP,DF,33-090,1992,6.8,399,463,86.2,6523,1419,197,212,92.9,170,195,87.2,26,35,74.3,0,0.2,0.3,-0.2,5,20,5,0,27,ESP-La Liga,2024,passing
ESP,MF,28-247,1996,9.2,897,949,94.5,14879,4286,428,439,97.5,383,398,96.2,63,79,79.7,0,1.4,1.7,-1.4,14,119,9,0,111,ESP-La Liga,2024,passing
ESP,FW,18-014,2007,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,ESP-La Liga,2024,passing
AUT,DF,32-291,1992,3.0,169,189,89.4,2819,1179,77,77,100.0,77,79,97.5,10,25,40.0,0,0.1,0.1,-0.1,1,9,1,0,7,ESP-La Liga,2024,passing
FRA,"MF,DF",22-152,2002,9.7,586,660,88.8,9750,2590,278,297,93.6,259,277,93.5,37,57,64.9,2,0.5,0.5,1.5,8,52,3,0,54,ESP-La Liga,2024,passing
BRA,FW,18-264,2006,1.4,32,42,76.2,516,80,14,18,77.8,13,16,81.3,2,2,100.0,0,0.3,0.1,-0.3,2,1,1,0,5,ESP-La Liga,2024,passing
URU,"MF,DF",26-263,1998,25.7,1537,1718,89.5,27159,7937,718,770,93.2,620,657,94.4,159,209,76.1,3,2.5,2.6,0.5,31,175,24,1,172,ESP-La Liga,2024,passing
FRA,DF,29-307,1995,11.2,630,671,93.9,9091,2431,387,399,97.0,199,212,93.9,32,38,84.2,1,0.5,0.7,0.5,3,44,1,0,36,ESP-La Liga,2024,passing
ESP,GK,19-291,2005,1.0,19,20,95.0,386,262,7,7,100.0,8,8,100.0,4,5,80.0,0,0.0,0.0,0.0,0,0,0,0,0,ESP-La Liga,2024,passing
ESP,DF,25-240,1999,17.4,983,1121,87.7,14160,3721,601,637,94.3,298,346,86.1,49,78,62.8,2,1.1,1.3,0.9,18,63,16,6,93,ESP-La Liga,2024,passing
ESP,DF,28-096,1997,0.1,12,14,85.7,221,54,1,1,100.0,11,11,100.0,0,2,0.0,0,0.0,0.0,0.0,0,0,0,0,0,ESP-La Liga,2024,passing
ENG,MF,21-286,2003,22.0,1090,1257,86.7,17353,3792,595,652,91.3,378,422,89.6,89,114,78.1,7,3.5,4.0,3.5,33,105,27,0,165,ESP-La Liga,2024,passing
FRA,FW,26-112,1998,26.9,795,959,82.9,11602,2044,474,541,87.6,215,246,87.4,54,67,80.6,3,6.5,5.9,-3.5,41,65,43,2,118,ESP-La Liga,2024,passing
ESP,DF,22-204,2002,0.1,1,1,100.0,34,0,0,0,,0,0,,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0,ESP-La Liga,2024,passing
ESP,DF,33-284,1991,19.3,1173,1343,87.3,18083,4328,619,669,92.5,463,521,88.9,61,93,65.6,4,4.2,3.6,-0.2,27,57,24,2,88,ESP-La Liga,2024,passing
