nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,league,season,stat_type
,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,,,
USA,"FW,MF",19,2003,5.9,1,4,2,50.0,0.68,0.34,0.25,0.5,21.4,0,0,0,0.2,0.2,0.04,0.8,0.8,GER-Bundesliga,2022,shooting
GER,"DF,FW",21,2000,5.6,0,3,1,33.3,0.54,0.18,0.0,0.0,19.8,0,0,0,0.3,0.3,0.12,-0.3,-0.3,GER-Bundesliga,2022,shooting
BEL,GK,30,1992,34.0,0,1,0,0.0,0.03,0.0,0.0,,10.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1,GER-Bundesliga,2022,shooting
GER,"FW,MF",26,1996,5.8,4,10,5,50.0,1.72,0.86,0.3,0.6,14.2,0,1,1,3.5,1.9,0.19,0.5,1.1,GER-Bundesliga,2022,shooting
GER,FW,23,1998,10.0,4,22,7,31.8,2.2,0.7,0.18,0.57,14.1,0,0,0,3.0,3.0,0.14,1.0,1.0,GER-Bundesliga,2022,shooting
CZE,MF,18,2004,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,GER-Bundesliga,2022,shooting
SWE,"MF,FW",23,1999,20.4,4,30,10,33.3,1.47,0.49,0.13,0.4,16.9,4,0,0,4.4,4.4,0.15,-0.4,-0.4,GER-Bundesliga,2022,shooting
GER,"MF,FW",34,1988,3.0,0,9,2,22.2,2.98,0.66,0.0,0.0,13.9,0,0,0,0.7,0.7,0.08,-0.7,-0.7,GER-Bundesliga,2022,shooting
FRA,DF,22,2000,18.1,1,4,1,25.0,0.22,0.06,0.25,1.0,8.6,0,0,0,0.5,0.5,0.13,0.5,0.5,GER-Bundesliga,2022,shooting
GER,MF,28,1994,30.7,5,29,12,41.4,0.94,0.39,0.07,0.17,31.4,6,3,5,5.0,1.0,0.04,0.0,1.0,GER-Bundesliga,2022,shooting
GER,FW,28,1994,1.3,0,1,1,100.0,0.78,0.78,0.0,0.0,18.2,0,0,0,0.1,0.1,0.07,-0.1,-0.1,GER-Bundesliga,2022,shooting
NED,DF,21,2001,33.0,1,16,1,6.3,0.48,0.03,0.06,1.0,17.5,0,0,0,1.3,1.3,0.08,-0.3,-0.3,GER-Bundesliga,2022,shooting
FRA,DF,23,1999,1.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,GER-Bundesliga,2022,shooting
EGY,FW,23,1999,16.4,5,48,16,33.3,2.93,0.98,0.1,0.31,15.0,1,0,0,6.1,6.1,0.13,-1.1,-1.1,GER-Bundesliga,2022,shooting
AUT,"FW,MF",21,2001,18.3,4,31,14,45.2,1.69,0.76,0.13,0.29,13.9,0,0,0,4.4,4.4,0.14,-0.4,-0.4,GER-Bundesliga,2022,shooting
BRA,DF,27,1994,22.7,0,19,1,5.3,0.84,0.04,0.0,0.0,23.9,0,0,0,0.8,0.8,0.04,-0.8,-0.8,GER-Bundesliga,2022,shooting
GER,"DF,FW",24,1998,28.7,5,28,12,42.9,0.98,0.42,0.18,0.42,19.1,0,0,0,2.9,2.9,0.1,2.1,2.1,GER-Bundesliga,2022,shooting
BEL,DF,23,1999,21.4,1,4,3,75.0,0.19,0.14,0.25,0.33,11.3,0,0,0,0.4,0.4,0.1,0.6,0.6,GER-Bundesliga,2022,shooting
GER,MF,28,1994,20.7,6,27,13,48.1,1.3,0.63,0.22,0.46,12.0,0,0,0,5.7,5.7,0.21,0.3,0.3,GER-Bundesliga,2022,shooting
