league,season,team,player,nation,pos,age,born,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,stat_type
,,,,,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,
ITA-Serie A,2020,Crotone,Arkadiusz Reca,POL,DF,25,1995,25.7,7,0,0,34,25,5,81,50,16,4,0,0,159,34,36,48.6,misc
ITA-Serie A,2020,Crotone,Augustus Kargbo,SLE,FW,20,1999,0.4,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,,misc
ITA-Serie A,2020,Crotone,Denis Drăguș,ROU,"FW,MF",21,1999,2.0,1,0,0,4,4,2,2,1,1,0,0,0,10,1,4,20.0,misc
ITA-Serie A,2020,Crotone,Eduardo Henrique,BRA,MF,25,1995,10.3,4,0,0,18,14,1,3,7,2,0,0,0,54,9,19,32.1,misc
ITA-Serie A,2020,Crotone,Emmanuel Rivière,FRA,FW,30,1990,7.1,2,0,0,10,18,1,1,1,1,0,0,0,18,14,21,40.0,misc
ITA-Serie A,2020,Crotone,Gian Crespi,ITA,GK,19,2001,1.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,misc
ITA-Serie A,2020,Crotone,Giovanni Crociata,ITA,DF,22,1997,0.3,0,0,0,2,1,0,1,0,0,0,0,0,1,0,0,,misc
ITA-Serie A,2020,Crotone,Giuseppe Cuomo,ITA,DF,22,1998,8.9,4,0,0,15,6,0,0,18,19,0,0,0,59,22,6,78.6,misc
ITA-Serie A,2020,Crotone,Jacopo Petriccione,ITA,MF,25,1995,10.6,5,1,0,18,17,0,14,8,8,0,0,0,65,2,8,20.0,misc
ITA-Serie A,2020,Crotone,Junior Messias,BRA,"MF,FW",29,1991,35.7,6,0,0,34,93,5,123,35,35,1,0,0,166,34,65,34.3,misc
ITA-Serie A,2020,Crotone,Koffi Djidji,CIV,DF,27,1992,16.9,4,0,0,22,2,1,5,28,28,0,0,0,85,27,22,55.1,misc
ITA-Serie A,2020,Crotone,Lisandro Magallán,ARG,DF,26,1993,24.2,10,0,0,65,13,0,1,44,31,0,1,0,141,43,26,62.3,misc
ITA-Serie A,2020,Crotone,Luca Cigarini,ITA,MF,34,1986,10.3,5,1,1,27,18,0,24,12,14,1,0,0,65,9,9,50.0,misc
ITA-Serie A,2020,Crotone,Luca Marrone,ITA,DF,30,1990,17.6,8,0,0,36,10,0,0,26,18,0,1,1,105,20,22,47.6,misc
ITA-Serie A,2020,Crotone,Luca Siligardi,ITA,"MF,FW",32,1988,0.5,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0.0,misc
ITA-Serie A,2020,Crotone,Luis Rojas,CHI,"MF,FW",18,2002,1.2,1,0,0,2,0,0,0,1,0,0,0,0,8,1,1,50.0,misc
ITA-Serie A,2020,Crotone,Marco Festa,ITA,GK,28,1992,1.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,misc
ITA-Serie A,2020,Crotone,Miloš Vulić,SRB,MF,23,1996,14.5,2,0,0,12,32,1,27,8,8,0,0,0,73,15,13,53.6,misc
ITA-Serie A,2020,Crotone,Niccolò Zanellato,ITA,MF,22,1998,18.2,3,0,0,30,34,0,9,16,14,0,0,0,102,19,21,47.5,misc
ITA-Serie A,2020,Crotone,Pedro Pereira,POR,DF,22,1998,28.3,6,0,0,33,18,5,71,19,32,0,1,0,127,27,40,40.3,misc
ITA-Serie A,2020,Crotone,Salvatore Molina,ITA,"MF,DF",28,1992,25.7,1,0,0,23,39,2,71,17,22,0,0,1,161,21,18,53.8,misc
ITA-Serie A,2020,Crotone,Samuel Di Carmine,ITA,FW,31,1988,5.3,1,0,0,5,15,0,3,0,2,1,0,0,12,15,15,50.0,misc
ITA-Serie A,2020,Crotone,Sebastiano Luperto,ITA,DF,23,1996,20.9,5,1,1,28,19,0,1,27,20,0,0,0,113,26,22,54.2,misc
ITA-Serie A,2020,Crotone,Simeon Nwankwo,NGA,FW,28,1992,32.7,1,0,0,50,44,23,3,6,2,0,0,0,64,61,98,38.4,misc
ITA-Serie A,2020,Crotone,Tomislav Gomelt,CRO,MF,25,1995,0.2,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,,misc
ITA-Serie A,2020,Crotone,Vladimir Golemić,SVN,DF,29,1991,26.0,4,1,0,30,8,0,2,40,16,0,2,0,112,45,42,51.7,misc
ITA-Serie A,2020,Fiorentina,Aleksandr Kokorin,RUS,"FW,MF",29,1991,1.0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0.0,misc
ITA-Serie A,2020,Fiorentina,Alfred Duncan,GHA,MF,27,1993,1.8,0,0,0,2,2,0,1,2,0,0,0,0,12,2,4,33.3,misc
ITA-Serie A,2020,Fiorentina,Antonio Barreca,ITA,DF,25,1995,0.9,0,0,0,1,0,1,11,0,0,0,1,0,3,3,2,60.0,misc
