nation,pos,age,born,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,league,season,stat_type
,,,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,,,
ENG,"FW,DF",28,1994,30.2,1659,46,191,521,962,138,1659,114,58,50.9,35,30.7,1024,6810,3074,110,48,47,55,32,1124,357,ENG-Premier League,2022,possession
GHA,DF,21,2000,5.0,376,15,80,138,161,17,376,28,8,28.6,13,46.4,232,1451,808,28,12,7,16,2,256,58,ENG-Premier League,2022,possession
SWE,MF,18,2003,0.7,30,0,5,18,8,1,30,1,0,0.0,0,0.0,19,76,44,0,0,0,2,0,25,2,ENG-Premier League,2022,possession
ALB,FW,20,2001,3.3,110,2,7,41,63,16,110,15,8,53.3,5,33.3,54,399,199,8,1,5,15,9,71,17,ENG-Premier League,2022,possession
ENG,"DF,MF",25,1996,15.6,1133,23,284,426,426,36,1133,23,8,34.8,12,52.2,629,3401,1852,43,36,8,25,18,722,131,ENG-Premier League,2022,possession
FRA,DF,21,2001,10.1,945,95,469,458,25,11,945,3,1,33.3,2,66.7,630,3020,1774,11,2,0,2,3,689,2,ENG-Premier League,2022,possession
ENG,"MF,FW",18,2003,3.9,262,5,47,106,112,17,262,11,6,54.5,5,45.5,154,1165,718,21,14,3,11,3,184,21,ENG-Premier League,2022,possession
USA,"FW,DF",23,1998,9.1,429,4,53,168,216,43,429,44,13,29.5,22,50.0,299,2126,1044,35,30,14,26,13,328,76,ENG-Premier League,2022,possession
ENG,MF,22,2000,18.0,1134,32,198,529,421,59,1134,55,24,43.6,23,41.8,700,3523,1394,40,40,12,36,36,778,104,ENG-Premier League,2022,possession
ESP,DF,32,1989,17.0,1245,84,424,510,319,25,1245,13,7,53.8,5,38.5,612,2691,1573,23,19,0,12,5,753,81,ENG-Premier League,2022,possession
CIV,FW,19,2002,0.8,33,1,2,10,22,7,33,8,5,62.5,2,25.0,24,119,45,2,2,3,9,3,23,9,ENG-Premier League,2022,possession
SUI,MF,25,1996,4.6,218,12,66,113,44,2,218,9,6,66.7,3,33.3,140,646,291,9,3,2,4,9,159,3,ENG-Premier League,2022,possession
SEN,GK,30,1992,9.5,307,265,304,3,0,0,307,1,0,0.0,1,100.0,171,790,423,0,0,0,0,0,157,0,ENG-Premier League,2022,possession
ARG,MF,21,2001,17.2,1616,45,351,1000,280,9,1616,32,17,53.1,13,40.6,1097,4757,2023,22,28,1,25,13,1257,18,ENG-Premier League,2022,possession
MAR,"FW,MF",29,1993,7.3,505,12,74,184,251,17,505,33,14,42.4,15,45.5,303,1505,657,20,17,7,12,13,354,69,ENG-Premier League,2022,possession
ITA,MF,30,1991,14.2,1026,36,273,577,178,8,1024,12,5,41.7,4,33.3,546,2331,1090,13,27,1,14,9,706,10,ENG-Premier League,2022,possession
POR,"FW,MF",22,1999,10.5,497,0,30,223,249,46,497,60,22,36.7,28,46.7,326,2092,1099,34,40,9,22,8,399,79,ENG-Premier League,2022,possession
GER,"FW,MF",23,1999,28.5,1258,46,108,519,640,165,1257,61,18,29.5,38,62.3,728,3741,1483,59,33,30,79,36,946,218,ENG-Premier League,2022,possession
SEN,DF,31,1991,20.0,1687,174,793,838,63,19,1687,6,4,66.7,2,33.3,1083,4728,2459,10,8,0,10,2,1209,4,ENG-Premier League,2022,possession
ESP,GK,27,1994,28.5,1119,892,1103,16,0,0,1119,1,1,100.0,0,0.0,654,2894,1683,0,0,0,1,0,604,0,ENG-Premier League,2022,possession
ENG,DF,17,2004,7.3,533,22,165,207,167,21,533,27,11,40.7,13,48.1,320,1627,848,19,9,6,16,7,351,40,ENG-Premier League,2022,possession
ESP,DF,24,1998,18.6,1490,63,470,672,358,12,1490,14,5,35.7,6,42.9,787,3205,1797,30,20,2,14,6,906,65,ENG-Premier League,2022,possession
