league,season,team,player,nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,stat_type
,,,,,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,
ITA-Serie A,2024,Udinese,Christian Kabasele,BEL,DF,34-046,1991,10.2,1,14,3,21.4,1.38,0.29,0.07,0.33,12.8,0,0,0,0.8,0.8,0.06,0.2,0.2,shooting
ITA-Serie A,2024,Udinese,Daniele Padelli,ITA,GK,39-168,1985,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ITA-Serie A,2024,Udinese,Enzo Ebosse,CMR,DF,26-031,1999,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ITA-Serie A,2024,Udinese,Florian Thauvin,FRA,"FW,MF",32-075,1993,21.7,8,51,23,45.1,2.35,1.06,0.14,0.3,18.5,3,1,3,8.1,5.7,0.11,-0.1,1.3,shooting
ITA-Serie A,2024,Udinese,Hassane Kamara,CIV,DF,31-037,1994,17.2,1,14,3,21.4,0.81,0.17,0.07,0.33,20.0,0,0,0,0.8,0.8,0.06,0.2,0.2,shooting
ITA-Serie A,2024,Udinese,Iker Bravo,ESP,"FW,MF",20-088,2005,6.0,2,10,3,30.0,1.68,0.5,0.2,0.67,16.1,0,0,0,0.8,0.8,0.08,1.2,1.2,shooting
ITA-Serie A,2024,Udinese,Jaka Bijol,SVN,DF,26-065,1999,29.0,1,19,6,31.6,0.66,0.21,0.05,0.17,11.8,0,0,0,2.0,2.0,0.1,-1.0,-1.0,shooting
ITA-Serie A,2024,Udinese,James Abankwah,IRL,"DF,MF",21-085,2004,1.0,0,1,0,0.0,1.02,0.0,0.0,,15.0,0,0,0,0.1,0.1,0.06,-0.1,-0.1,shooting
ITA-Serie A,2024,Udinese,Jesper Karlström,SWE,MF,29-294,1995,28.4,0,9,0,0.0,0.32,0.0,0.0,,19.1,0,0,0,0.5,0.5,0.06,-0.5,-0.5,shooting
ITA-Serie A,2024,Udinese,Jordan Zemura,ZIM,DF,25-148,1999,14.0,1,12,3,25.0,0.86,0.21,0.08,0.33,19.8,3,0,0,0.9,0.9,0.08,0.1,0.1,shooting
ITA-Serie A,2024,Udinese,Jurgen Ekkelenkamp,NED,MF,25-006,2000,16.7,3,18,8,44.4,1.08,0.48,0.17,0.38,16.7,0,0,0,1.8,1.8,0.1,1.2,1.2,shooting
ITA-Serie A,2024,Udinese,Keinan Davis,ENG,FW,27-057,1998,7.9,2,14,5,35.7,1.78,0.63,0.14,0.4,9.5,0,0,0,1.5,1.5,0.11,0.5,0.5,shooting
