nation,pos,age,born,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,league,season,stat_type
,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,,,
FRA,"MF,FW",18,2005,2.0,0,0,0,1,1,1,6,1,1,0,0,0,15,1,4,20.0,GER-Bundesliga,2023,misc
GER,GK,34,1988,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0,GER-Bundesliga,2023,misc
NOR,"MF,FW",23,1999,1.6,0,0,0,1,2,1,2,0,1,0,0,0,10,1,3,25.0,GER-Bundesliga,2023,misc
DEN,FW,23,2000,0.9,0,0,0,1,0,0,1,0,1,0,0,0,2,0,1,0.0,GER-Bundesliga,2023,misc
GER,FW,23,2000,3.1,2,0,0,11,7,2,0,0,2,0,0,0,11,3,14,17.6,GER-Bundesliga,2023,misc
FRA,"MF,DF",22,2000,21.7,5,0,0,49,15,3,21,9,29,0,0,0,112,41,32,56.2,GER-Bundesliga,2023,misc
GER,GK,33,1990,32.0,2,0,0,0,6,0,0,1,0,0,0,0,58,8,1,88.9,GER-Bundesliga,2023,misc
CRO,"MF,FW",26,1997,2.2,1,0,0,5,3,0,1,2,3,0,0,0,12,5,3,62.5,GER-Bundesliga,2023,misc
JPN,"DF,MF",39,1984,2.4,1,0,0,4,3,0,1,2,2,0,1,0,13,4,3,57.1,GER-Bundesliga,2023,misc
GER,MF,31,1992,23.0,5,1,1,14,35,1,54,14,34,0,1,0,152,8,13,38.1,GER-Bundesliga,2023,misc
SRB,MF,18,2005,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,GER-Bundesliga,2023,misc
ESP,"FW,MF",18,2004,0.8,0,0,0,1,2,0,0,0,3,0,0,0,2,9,9,50.0,GER-Bundesliga,2023,misc
FRA,"DF,MF",22,2000,14.5,5,1,1,27,2,0,53,16,30,0,1,0,102,17,27,38.6,GER-Bundesliga,2023,misc
GER,DF,19,2004,1.0,0,0,0,0,1,0,2,2,0,0,0,0,7,0,2,0.0,GER-Bundesliga,2023,misc
EGY,"FW,MF",24,1999,25.6,7,0,0,28,74,12,33,11,11,2,1,0,90,27,29,48.2,GER-Bundesliga,2023,misc
USA,MF,19,2003,1.1,0,0,0,6,4,0,0,0,2,0,0,0,5,3,0,100.0,GER-Bundesliga,2023,misc
GER,DF,29,1993,15.0,2,0,0,7,9,2,59,7,17,0,1,0,65,12,16,42.9,GER-Bundesliga,2023,misc
FRA,FW,24,1998,1.7,0,0,0,4,5,0,0,0,0,0,0,0,3,4,5,44.4,GER-Bundesliga,2023,misc
GER,DF,27,1996,30.4,10,0,0,20,13,0,4,32,23,0,2,0,138,80,50,61.5,GER-Bundesliga,2023,misc
AUT,FW,26,1997,3.6,0,0,0,3,10,1,1,2,2,0,0,0,10,9,11,45.0,GER-Bundesliga,2023,misc
GER,MF,32,1990,0.7,0,0,0,0,1,0,1,1,4,0,0,0,10,2,3,40.0,GER-Bundesliga,2023,misc
USA,"MF,DF",33,1990,0.2,0,0,0,0,0,0,4,0,0,0,0,0,0,2,1,66.7,GER-Bundesliga,2023,misc
BRA,DF,24,1999,28.9,3,2,1,29,17,0,11,36,33,0,0,0,171,52,43,54.7,GER-Bundesliga,2023,misc
ECU,DF,21,2001,33.0,7,0,0,22,14,1,7,47,37,0,1,0,216,54,48,52.9,GER-Bundesliga,2023,misc
HUN,DF,25,1998,1.1,0,0,0,0,0,1,0,1,1,0,0,0,4,2,2,50.0,GER-Bundesliga,2023,misc
GER,DF,30,1993,11.8,1,0,0,8,3,1,62,2,12,0,0,0,32,5,10,33.3,GER-Bundesliga,2023,misc
GER,MF,26,1997,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,GER-Bundesliga,2023,misc
KVX,"MF,FW",25,1998,1.2,0,0,0,1,2,0,9,0,4,0,0,0,7,1,1,50.0,GER-Bundesliga,2023,misc
FRA,DF,21,2001,11.4,1,0,0,14,11,1,23,11,11,0,2,0,46,17,15,53.1,GER-Bundesliga,2023,misc
AUT,"FW,MF",22,2001,1.2,0,0,0,7,4,2,1,0,1,0,0,0,10,5,6,45.5,GER-Bundesliga,2023,misc
GER,DF,21,2002,0.8,0,0,0,1,0,0,2,1,2,0,0,0,11,1,1,50.0,GER-Bundesliga,2023,misc
FRA,DF,21,2002,20.1,2,1,0,29,10,4,37,22,19,0,0,0,107,32,37,46.4,GER-Bundesliga,2023,misc
GER,"FW,MF",29,1994,25.6,7,0,0,25,48,7,12,15,24,2,0,0,104,80,102,44.0,GER-Bundesliga,2023,misc
GER,DF,30,1992,20.5,7,0,0,19,24,3,21,37,24,0,0,0,113,35,25,58.3,GER-Bundesliga,2023,misc
GER,DF,32,1991,22.7,5,1,1,17,15,1,3,25,23,0,0,0,78,49,33,59.8,GER-Bundesliga,2023,misc
GER,DF,29,1994,21.3,3,0,0,8,15,0,16,16,15,0,0,1,100,50,29,63.3,GER-Bundesliga,2023,misc
GER,FW,22,2000,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,25.0,GER-Bundesliga,2023,misc
GER,MF,26,1996,32.4,6,0,0,32,24,2,9,28,24,0,1,0,167,51,43,54.3,GER-Bundesliga,2023,misc
GER,"FW,MF",29,1994,3.6,2,0,0,10,3,0,4,1,5,0,0,0,11,7,14,33.3,GER-Bundesliga,2023,misc
