nation,pos,age,born,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP,league,season,stat_type
,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,,,,
USA,MF,26-056,1999,15.3,607,728,83.4,9588,2285,297,334,88.9,266,303,87.8,25,45,55.6,3,0.8,0.4,2.2,13,48,2,1,54,ENG-Premier League,2024,passing
MSR,FW,19-276,2005,0.0,1,2,50.0,25,0,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,ENG-Premier League,2024,passing
ENG,DF,35-202,1989,2.0,93,120,77.5,1751,688,34,38,89.5,51,60,85.0,8,20,40.0,0,0.0,0.0,0.0,0,10,0,0,11,ENG-Premier League,2024,passing
CMR,FW,25-247,1999,30.9,712,1061,67.1,11339,3421,388,488,79.5,259,354,73.2,51,140,36.4,5,7.0,7.7,-2.0,55,47,50,14,116,ENG-Premier League,2024,passing
DEN,MF,31-032,1994,24.3,924,1126,82.1,15267,5159,467,532,87.8,383,446,85.9,59,99,59.6,2,0.8,0.8,1.2,15,115,21,3,120,ENG-Premier League,2024,passing
ENG,"MF,FW",23-338,2001,1.3,76,84,90.5,1259,343,38,40,95.0,29,31,93.5,6,7,85.7,0,0.1,0.0,-0.1,1,2,0,0,13,ENG-Premier League,2024,passing
JAM,DF,31-317,1993,21.3,924,1080,85.6,17045,6094,360,382,94.2,472,528,89.4,84,145,57.9,0,1.2,0.7,-1.2,8,48,4,1,41,ENG-Premier League,2024,passing
POR,"FW,MF",22-224,2002,5.1,126,178,70.8,1755,442,78,94,83.0,32,45,71.1,7,18,38.9,1,0.7,0.6,0.3,4,11,5,1,17,ENG-Premier League,2024,passing
NGA,MF,27-100,1998,0.3,6,7,85.7,71,19,5,5,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,1,0,1,ENG-Premier League,2024,passing
ISL,GK,23-180,2001,1.6,46,70,65.7,1445,1110,8,8,100.0,21,21,100.0,17,41,41.5,0,0.0,0.0,0.0,0,2,0,0,0,ENG-Premier League,2024,passing
ENG,DF,18-287,2006,0.1,3,3,100.0,28,7,3,3,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,ENG-Premier League,2024,passing
ENG,"DF,FW",24-048,2001,28.3,814,1055,77.2,13345,3969,444,499,89.0,275,348,79.0,71,141,50.4,2,2.5,4.5,-0.5,21,54,39,14,85,ENG-Premier League,2024,passing
GER,FW,23-135,2001,19.5,263,449,58.6,4085,1149,146,212,68.9,92,156,59.0,16,37,43.2,2,3.2,1.4,-1.2,18,28,8,2,32,ENG-Premier League,2024,passing
KOR,DF,20-108,2004,0.3,25,28,89.3,552,202,8,9,88.9,11,12,91.7,6,7,85.7,0,0.0,0.0,0.0,0,1,0,0,2,ENG-Premier League,2024,passing
NOR,DF,26-359,1998,14.4,453,581,78.0,7119,2551,233,269,86.6,180,227,79.3,25,50,50.0,0,1.2,0.5,-1.2,7,39,6,4,49,ENG-Premier League,2024,passing
DEN,DF,25-291,1999,12.2,422,536,78.7,6925,2249,205,233,88.0,179,224,79.9,27,49,55.1,2,3.0,2.1,-1.0,14,37,11,4,51,ENG-Premier League,2024,passing
NED,GK,31-302,1993,29.4,1044,1425,73.3,30510,20751,132,135,97.8,564,579,97.4,348,704,49.4,1,0.2,0.1,0.8,2,42,2,0,0,ENG-Premier League,2024,passing
DEN,MF,29-100,1996,8.3,316,419,75.4,5833,2104,146,168,86.9,120,152,78.9,40,73,54.8,1,1.5,1.2,-0.5,14,36,16,2,53,ENG-Premier League,2024,passing
ITA,DF,20-275,2004,0.5,19,30,63.3,335,147,7,11,63.6,10,17,58.8,2,2,100.0,0,0.2,0.1,-0.2,2,2,1,1,1,ENG-Premier League,2024,passing
DEN,"MF,FW",24-282,2000,25.9,899,1233,72.9,15309,6066,455,533,85.4,311,424,73.3,106,201,52.7,10,7.3,5.7,2.7,55,136,58,15,195,ENG-Premier League,2024,passing
IRL,DF,23-346,2001,31.0,1429,1666,85.8,27106,9182,486,551,88.2,817,884,92.4,114,193,59.1,1,1.4,1.2,-0.4,7,92,7,2,106,ENG-Premier League,2024,passing
ENG,DF,27-277,1997,0.0,2,5,40.0,44,28,1,3,33.3,1,1,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,ENG-Premier League,2024,passing
ENG,MF,22-030,2003,0.0,4,7,57.1,73,23,1,2,50.0,3,3,100.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,0,ENG-Premier League,2024,passing
NED,DF,23-112,2001,21.7,797,951,83.8,13543,4405,360,415,86.7,377,427,88.3,52,80,65.0,0,0.2,0.5,-0.2,4,49,3,1,58,ENG-Premier League,2024,passing
BRA,FW,23-289,2001,1.5,28,39,71.8,428,56,14,20,70.0,9,12,75.0,3,4,75.0,0,0.1,0.0,-0.1,2,1,1,0,2,ENG-Premier League,2024,passing
GER,MF,26-336,1998,24.2,857,1035,82.8,14277,4252,432,476,90.8,342,400,85.5,65,114,57.0,3,2.2,2.3,0.8,13,78,22,7,79,ENG-Premier League,2024,passing
UKR,MF,21-041,2004,10.5,428,502,85.3,7310,1687,216,249,86.7,158,180,87.8,42,50,84.0,0,0.3,0.4,-0.3,6,51,5,2,40,ENG-Premier League,2024,passing
COD,FW,28-220,1996,25.4,373,486,76.7,5430,1288,227,265,85.7,110,146,75.3,22,38,57.9,2,1.8,1.5,0.2,22,37,9,1,53,ENG-Premier League,2024,passing
TUR,"FW,MF",19-091,2006,0.3,20,27,74.1,329,76,12,15,80.0,5,6,83.3,3,4,75.0,0,0.0,0.0,0.0,0,1,0,0,2,ENG-Premier League,2024,passing
ENG,DF,30-097,1995,6.9,429,501,85.6,7934,3140,169,177,95.5,213,232,91.8,40,79,50.6,0,0.5,0.2,-0.5,3,32,2,0,40,ENG-Premier League,2024,passing
NED,GK,22-236,2002,29.0,832,1069,77.8,19644,13256,239,241,99.2,395,403,98.0,195,417,46.8,1,0.0,0.0,1.0,1,14,1,0,2,ENG-Premier League,2024,passing
SCO,MF,23-304,2001,1.1,58,67,86.6,980,346,36,38,94.7,18,22,81.8,4,7,57.1,0,0.0,0.0,0.0,0,12,2,0,11,ENG-Premier League,2024,passing
GER,"FW,MF",20-315,2004,5.4,131,179,73.2,1737,586,85,103,82.5,30,42,71.4,8,21,38.1,1,0.7,0.6,0.3,12,7,10,1,17,ENG-Premier League,2024,passing
CMR,MF,21-098,2004,22.9,831,959,86.7,13942,3603,405,439,92.3,329,364,90.4,77,118,65.3,1,1.1,1.1,-0.1,18,92,22,2,99,ENG-Premier League,2024,passing
ENG,FW,34-136,1990,17.7,298,359,83.0,3488,722,194,228,85.1,66,76,86.8,7,7,100.0,4,1.0,1.2,3.0,16,12,11,0,35,ENG-Premier League,2024,passing
PAR,MF,22-015,2003,4.4,181,228,79.4,2768,669,102,118,86.4,64,77,83.1,10,20,50.0,0,0.5,0.8,-0.5,5,12,4,1,18,ENG-Premier League,2024,passing
IRL,DF,23-153,2001,0.2,22,26,84.6,391,187,9,10,90.0,12,12,100.0,1,4,25.0,0,0.0,0.0,0.0,0,4,0,0,5,ENG-Premier League,2024,passing
IRL,FW,20-174,2004,2.7,43,58,74.1,484,44,31,36,86.1,8,11,72.7,1,4,25.0,0,0.4,0.4,-0.4,3,1,0,0,1,ENG-Premier League,2024,passing
TUR,"DF,MF",25-186,1999,4.3,144,175,82.3,2372,698,73,82,89.0,61,74,82.4,9,14,64.3,0,0.2,0.3,-0.2,5,10,9,4,15,ENG-Premier League,2024,passing
