nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,league,season,stat_type
,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,,,
ITA,"MF,DF",22,2001,5.3,0,6,2,33.3,1.13,0.38,0.0,0.0,26.6,2,0,0,0.2,0.2,0.04,-0.2,-0.2,ITA-Serie A,2023,shooting
ITA,FW,35,1987,14.1,3,22,9,40.9,1.56,0.64,0.09,0.22,11.7,0,1,1,3.4,2.6,0.12,-0.4,-0.6,ITA-Serie A,2023,shooting
ITA,FW,19,2004,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ITA-Serie A,2023,shooting
ITA,DF,25,1997,12.1,0,3,2,66.7,0.25,0.17,0.0,0.0,20.5,0,0,0,0.2,0.2,0.06,-0.2,-0.2,ITA-Serie A,2023,shooting
ITA,MF,20,2003,13.7,1,23,4,17.4,1.68,0.29,0.04,0.25,19.8,2,0,0,1.2,1.2,0.05,-0.2,-0.2,ITA-Serie A,2023,shooting
SCO,MF,27,1996,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ITA-Serie A,2023,shooting
NZL,DF,22,2000,21.2,0,13,2,15.4,0.61,0.09,0.0,0.0,24.6,0,0,0,0.4,0.4,0.03,-0.4,-0.4,ITA-Serie A,2023,shooting
SEN,FW,28,1994,7.9,6,20,5,25.0,2.54,0.64,0.1,0.4,16.9,0,4,4,5.4,2.3,0.11,0.6,-0.3,ITA-Serie A,2023,shooting
ITA,"FW,MF",21,2002,19.9,4,40,12,30.0,2.01,0.6,0.1,0.33,16.6,1,0,0,4.7,4.7,0.12,-0.7,-0.7,ITA-Serie A,2023,shooting
ITA,"FW,MF",32,1991,4.1,0,11,4,36.4,2.7,0.98,0.0,0.0,15.0,0,0,0,1.2,1.2,0.11,-1.2,-1.2,ITA-Serie A,2023,shooting
SUI,MF,27,1996,1.0,0,1,1,100.0,1.0,1.0,0.0,0.0,14.5,0,0,0,0.1,0.1,0.1,-0.1,-0.1,ITA-Serie A,2023,shooting
ITA,"FW,MF",22,2000,28.4,1,71,17,23.9,2.5,0.6,0.01,0.06,19.8,0,0,0,3.9,3.9,0.05,-2.9,-2.9,ITA-Serie A,2023,shooting
ITA,FW,22,2001,0.4,0,1,0,0.0,2.31,0.0,0.0,,16.3,0,0,0,0.1,0.1,0.05,-0.1,-0.1,ITA-Serie A,2023,shooting
ROU,MF,27,1996,20.2,0,35,9,25.7,1.73,0.45,0.0,0.0,29.7,10,0,0,1.1,1.1,0.03,-1.1,-1.1,ITA-Serie A,2023,shooting
ITA,GK,25,1997,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ITA-Serie A,2023,shooting
POL,DF,23,2000,22.8,0,4,2,50.0,0.18,0.09,0.0,0.0,18.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1,ITA-Serie A,2023,shooting
ITA,DF,26,1996,37.8,1,19,3,15.8,0.5,0.08,0.05,0.33,15.1,0,0,0,1.7,1.7,0.09,-0.7,-0.7,ITA-Serie A,2023,shooting
ITA,"MF,DF",26,1996,8.3,1,7,1,14.3,0.85,0.12,0.14,1.0,21.9,2,0,0,0.4,0.4,0.06,0.6,0.6,ITA-Serie A,2023,shooting
ALB,"FW,MF",20,2003,4.6,0,7,3,42.9,1.53,0.66,0.0,0.0,16.8,0,0,0,0.4,0.4,0.06,-0.4,-0.4,ITA-Serie A,2023,shooting
POL,MF,25,1997,9.6,4,16,6,37.5,1.66,0.62,0.25,0.67,18.1,0,0,0,1.0,1.0,0.06,3.0,3.0,ITA-Serie A,2023,shooting
ITA,"MF,FW",20,2003,8.3,2,14,6,42.9,1.69,0.72,0.14,0.33,20.0,0,0,0,2.1,2.1,0.15,-0.1,-0.1,ITA-Serie A,2023,shooting
NGA,DF,27,1995,12.2,0,5,1,20.0,0.41,0.08,0.0,0.0,15.6,0,0,0,0.3,0.3,0.05,-0.3,-0.3,ITA-Serie A,2023,shooting
UKR,MF,27,1996,6.8,1,11,4,36.4,1.62,0.59,0.09,0.25,13.9,0,0,0,0.9,0.9,0.08,0.1,0.1,ITA-Serie A,2023,shooting
MAR,MF,24,1998,28.9,0,18,2,11.1,0.62,0.07,0.0,0.0,20.1,2,0,0,1.6,1.6,0.09,-1.6,-1.6,ITA-Serie A,2023,shooting
GHA,MF,30,1993,21.0,2,23,6,26.1,1.1,0.29,0.09,0.33,23.4,0,0,0,1.5,1.5,0.06,0.5,0.5,ITA-Serie A,2023,shooting
