league,season,team,player,nation,pos,age,born,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,stat_type
,,,,,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,
ENG-Premier League,2024,Brentford,Yehor Yarmoliuk,UKR,MF,21-041,2004,10.5,3,0,0,9,8,2,12,9,20,0,0,0,81,7,4,63.6,misc
ENG-Premier League,2024,Brentford,Yoane Wissa,COD,FW,28-220,1996,25.4,2,0,0,24,42,13,20,7,7,1,0,0,59,28,29,49.1,misc
ENG-Premier League,2024,Brentford,Yunus Emre Konak,TUR,"FW,MF",19-091,2006,0.3,0,0,0,2,1,0,0,0,4,0,0,0,2,4,4,50.0,misc
ENG-Premier League,2024,Brighton,Adam Webster,ENG,DF,30-097,1995,6.9,0,0,0,5,2,1,1,14,5,0,1,0,20,17,4,81.0,misc
ENG-Premier League,2024,Brighton,Bart Verbruggen,NED,GK,22-236,2002,29.0,5,0,0,0,2,0,0,0,0,0,0,0,53,10,1,90.9,misc
ENG-Premier League,2024,Brighton,Billy Gilmour,SCO,MF,23-304,2001,1.1,0,0,0,2,3,0,1,0,3,0,0,0,5,0,0,,misc
ENG-Premier League,2024,Brighton,Brajan Gruda,GER,"FW,MF",20-315,2004,5.4,0,0,0,6,9,1,17,2,5,0,0,0,17,3,4,42.9,misc
ENG-Premier League,2024,Brighton,Carlos Baleba,CMR,MF,21-098,2004,22.9,8,1,1,36,41,0,7,39,32,0,2,0,154,35,19,64.8,misc
ENG-Premier League,2024,Brighton,Danny Welbeck,ENG,FW,34-136,1990,17.7,3,0,0,8,20,2,3,5,11,0,0,0,31,15,20,42.9,misc
ENG-Premier League,2024,Brighton,Diego Gómez,PAR,MF,22-015,2003,4.4,0,0,0,5,2,1,9,6,10,0,0,0,27,7,3,70.0,misc
ENG-Premier League,2024,Brighton,Eiran Cashin,IRL,DF,23-153,2001,0.2,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,66.7,misc
ENG-Premier League,2024,Brighton,Evan Ferguson,IRL,FW,20-174,2004,2.7,0,0,0,3,1,0,0,0,3,0,0,0,10,4,9,30.8,misc
ENG-Premier League,2024,Brighton,Ferdi Kadioglu,TUR,"DF,MF",25-186,1999,4.3,1,0,0,5,3,1,9,8,6,0,0,0,14,3,1,75.0,misc
ENG-Premier League,2024,Brighton,Georginio Rutter,FRA,"MF,FW",22-356,2002,18.4,2,0,0,34,45,7,9,10,15,0,1,0,66,25,46,35.2,misc
ENG-Premier League,2024,Brighton,Igor,BRA,DF,27-063,1998,10.0,4,0,0,9,6,0,2,4,4,0,0,0,40,8,6,57.1,misc
ENG-Premier League,2024,Brighton,Jack Hinshelwood,ENG,"DF,MF",20-000,2005,15.7,4,0,0,13,5,0,25,14,16,0,0,0,47,17,12,58.6,misc
ENG-Premier League,2024,Brighton,Jakub Moder,POL,MF,26-004,1999,0.1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0.0,misc
ENG-Premier League,2024,Brighton,James Milner,ENG,MF,39-097,1986,1.9,1,0,0,3,1,0,8,2,2,0,0,0,2,0,1,0.0,misc
ENG-Premier League,2024,Brighton,Jan Paul van Hecke,NED,DF,24-307,2000,27.9,7,1,1,22,19,0,10,22,25,0,0,0,114,71,45,61.2,misc
ENG-Premier League,2024,Brighton,Jason Steele,ENG,GK,34-236,1990,2.0,0,0,0,0,1,0,0,0,0,0,0,0,7,1,1,50.0,misc
ENG-Premier League,2024,Brighton,Jeremy Sarmiento,ECU,MF,22-299,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,misc
ENG-Premier League,2024,Brighton,João Pedro,BRA,"FW,MF",23-197,2001,20.0,4,0,0,22,42,2,20,7,11,3,1,0,52,39,39,50.0,misc
ENG-Premier League,2024,Brighton,Joël Veltman,NED,DF,33-086,1992,18.3,4,0,0,26,42,0,23,18,28,0,1,0,67,21,18,53.8,misc
ENG-Premier League,2024,Brighton,Julio Enciso,PAR,"MF,FW",21-078,2004,3.3,0,0,0,3,7,0,20,0,0,0,0,0,15,6,5,54.5,misc
ENG-Premier League,2024,Brighton,Kaoru Mitoma,JPN,"FW,MF",27-326,1997,27.4,1,0,0,38,23,5,69,13,24,0,0,0,91,24,26,48.0,misc
ENG-Premier League,2024,Brighton,Lewis Dunk,ENG,DF,33-141,1991,19.1,4,0,0,6,8,2,4,11,9,0,0,1,92,41,25,62.1,misc
ENG-Premier League,2024,Brighton,Mats Wieffer,NED,MF,25-146,1999,5.7,4,0,0,16,5,0,1,8,12,0,0,0,44,19,14,57.6,misc
ENG-Premier League,2024,Brighton,Matt O'Riley,DEN,MF,24-141,2000,6.0,1,0,0,10,8,0,28,11,9,0,0,1,19,4,4,50.0,misc
ENG-Premier League,2024,Brighton,Pervis Estupiñán,ECU,DF,27-080,1998,20.7,3,0,0,27,13,3,100,25,31,0,0,0,116,34,24,58.6,misc
ENG-Premier League,2024,Brighton,Simon Adingra,CIV,"FW,MF",23-100,2002,8.3,0,0,0,9,1,2,26,7,7,0,0,0,33,4,1,80.0,misc
ENG-Premier League,2024,Brighton,Solly March,ENG,"MF,FW",30-265,1994,0.7,2,0,0,1,1,1,9,1,3,0,0,0,3,1,1,50.0,misc
ENG-Premier League,2024,Brighton,Tariq Lamptey,GHA,DF,24-193,2000,8.5,0,0,0,12,10,0,24,6,10,0,1,0,35,1,12,7.7,misc
ENG-Premier League,2024,Brighton,Yankuba Minteh,GAM,"FW,MF",20-263,2004,14.9,6,0,0,15,8,4,67,10,28,0,0,0,65,14,24,36.8,misc
ENG-Premier League,2024,Brighton,Yasin Ayari,SWE,MF,21-187,2003,17.1,3,0,0,31,21,3,55,17,26,0,0,0,94,9,17,34.6,misc
ENG-Premier League,2024,Chelsea,Axel Disasi,FRA,DF,27-031,1998,4.0,1,0,0,2,0,0,0,2,4,0,0,0,15,5,2,71.4,misc
ENG-Premier League,2024,Chelsea,Benoît Badiashile,FRA,DF,24-016,2001,3.7,0,0,0,6,2,0,0,6,6,0,0,0,18,8,2,80.0,misc
ENG-Premier League,2024,Chelsea,Christopher Nkunku,FRA,FW,27-148,1997,10.2,2,0,0,15,11,3,4,7,8,0,0,0,29,16,21,43.2,misc
ENG-Premier League,2024,Chelsea,Cole Palmer,ENG,MF,22-340,2002,28.5,5,0,0,12,54,6,123,7,15,1,0,0,85,1,5,16.7,misc
ENG-Premier League,2024,Chelsea,Enzo Fernández,ARG,MF,24-084,2001,25.8,7,0,0,45,41,1,82,11,28,0,0,0,124,13,26,33.3,misc
ENG-Premier League,2024,Chelsea,Filip Jørgensen,DEN,GK,22-360,2002,6.0,0,0,0,1,1,0,0,0,0,0,1,0,5,0,0,,misc
ENG-Premier League,2024,Chelsea,Jadon Sancho,ENG,FW,25-017,2000,17.6,1,0,0,5,11,5,20,2,6,2,0,0,90,5,9,35.7,misc
ENG-Premier League,2024,Chelsea,Joshua Acheampong,ENG,DF,18-341,2006,1.9,1,0,0,0,1,0,0,1,1,0,0,0,7,1,6,14.3,misc
ENG-Premier League,2024,Chelsea,João Félix,POR,"FW,MF",25-152,1999,4.1,2,0,0,6,17,1,0,3,3,0,0,0,22,4,5,44.4,misc
ENG-Premier League,2024,Chelsea,Kiernan Dewsbury-Hall,ENG,"MF,FW",26-217,1998,2.9,0,0,0,4,6,0,2,1,5,0,0,0,8,0,1,0.0,misc
ENG-Premier League,2024,Chelsea,Levi Colwill,ENG,DF,22-044,2003,28.0,7,0,0,33,17,4,10,28,23,0,1,0,91,69,42,62.2,misc
ENG-Premier League,2024,Chelsea,Malo Gusto,FRA,DF,21-327,2003,19.2,4,0,0,19,17,2,47,22,28,0,0,0,106,7,13,35.0,misc
