nation,pos,age,born,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,league,season,stat_type
,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,,,
POR,GK,32,1990,31.0,0,0,0,1,6,0,0,0,0,0,1,0,33,5,0,100.0,FRA-Ligue 1,2023,misc
FRA,FW,20,2002,3.0,1,0,0,4,2,2,0,2,2,0,0,0,11,9,2,81.8,FRA-Ligue 1,2023,misc
TUN,MF,19,2004,0.1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0.0,FRA-Ligue 1,2023,misc
ANG,DF,30,1992,24.7,6,0,0,29,37,1,52,40,24,0,0,0,145,27,27,50.0,FRA-Ligue 1,2023,misc
FRA,MF,28,1994,19.3,5,0,0,24,23,1,36,10,21,0,1,0,117,37,22,62.7,FRA-Ligue 1,2023,misc
CRO,DF,34,1989,8.0,2,1,0,12,1,0,3,12,7,0,0,0,33,24,10,70.6,FRA-Ligue 1,2023,misc
POR,"FW,MF",18,2004,3.0,1,0,0,4,3,1,6,2,0,0,0,0,17,5,8,38.5,FRA-Ligue 1,2023,misc
CRO,DF,26,1996,22.1,2,1,0,16,5,0,0,18,11,0,0,0,86,57,15,79.2,FRA-Ligue 1,2023,misc
GHA,"FW,MF",19,2003,20.4,4,0,0,50,34,12,75,8,14,0,1,0,86,10,25,28.6,FRA-Ligue 1,2023,misc
NGA,FW,21,2002,5.3,2,0,0,9,10,2,3,1,3,0,0,0,14,3,15,16.7,FRA-Ligue 1,2023,misc
BRA,DF,29,1994,6.7,2,0,0,7,8,0,17,10,6,0,0,0,24,5,5,50.0,FRA-Ligue 1,2023,misc
IRL,DF,22,2001,26.3,4,1,0,17,10,0,1,12,16,0,0,0,126,44,25,63.8,FRA-Ligue 1,2023,misc
BRA,"FW,MF",23,1999,3.4,0,0,0,4,5,1,2,0,4,1,0,0,15,4,3,57.1,FRA-Ligue 1,2023,misc
FRA,MF,20,2002,2.8,1,0,0,6,3,0,2,4,3,0,0,0,22,1,2,33.3,FRA-Ligue 1,2023,misc
