nation,pos,age,born,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,league,season,stat_type
,,,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,,,
ESP,MF,23-229,2001,18.3,1228,39,256,761,219,15,1228,20,13,65.0,7,35.0,716,2963,1250,18,10,0,21,16,854,24,ESP-La Liga,2024,possession
ESP,DF,22-060,2003,1.0,71,5,24,43,4,0,71,0,0,,0,,33,128,75,0,0,0,0,0,35,4,ESP-La Liga,2024,possession
BRA,FW,20-042,2005,13.7,365,3,27,167,179,57,365,39,10,25.6,25,64.1,213,1250,554,24,14,16,41,35,239,57,ESP-La Liga,2024,possession
POR,MF,33-004,1992,3.2,222,7,68,129,29,1,222,4,3,75.0,1,25.0,147,633,289,1,4,0,2,6,166,3,ESP-La Liga,2024,possession
SEN,DF,32-037,1993,15.8,1026,37,324,517,192,22,1026,18,8,44.4,9,50.0,526,1947,979,22,8,4,25,10,586,51,ESP-La Liga,2024,possession
ESP,DF,20-260,2004,3.8,251,7,92,102,59,6,251,7,4,57.1,3,42.9,121,609,331,3,3,1,7,2,140,18,ESP-La Liga,2024,possession
ESP,"FW,MF",25-342,1999,10.4,382,2,29,108,251,77,382,39,17,43.6,18,46.2,255,1992,1205,61,32,30,20,18,296,116,ESP-La Liga,2024,possession
GRE,FW,25-252,1999,7.8,192,12,18,84,94,32,192,13,4,30.8,7,53.8,120,585,150,6,7,4,23,19,149,43,ESP-La Liga,2024,possession
ESP,FW,32-084,1993,17.6,557,12,36,289,241,60,557,24,9,37.5,12,50.0,332,1223,365,13,9,7,51,27,422,90,ESP-La Liga,2024,possession
SWE,DF,29-314,1995,25.1,1888,264,956,909,29,11,1888,1,1,100.0,0,0.0,1096,4534,2481,11,5,1,9,0,1329,1,ESP-La Liga,2024,possession
ESP,DF,24-059,2001,8.2,711,69,307,390,17,4,711,3,2,66.7,1,33.3,434,2133,1248,6,9,0,4,0,507,1,ESP-La Liga,2024,possession
ESP,MF,22-025,2003,8.8,751,14,107,520,125,4,751,1,0,0.0,1,100.0,447,2030,1107,7,5,0,4,6,580,9,ESP-La Liga,2024,possession
,"FW,MF",,,3.6,191,5,15,89,92,11,191,17,9,52.9,7,41.2,131,906,449,13,10,3,18,12,153,27,ESP-La Liga,2024,possession
ESP,MF,26-067,1999,20.3,1335,40,289,869,180,8,1335,15,7,46.7,7,46.7,724,3461,1634,19,20,1,18,20,945,21,ESP-La Liga,2024,possession
ARG,"FW,MF",30-320,1994,2.9,157,3,36,77,44,1,157,1,1,100.0,0,0.0,81,404,173,3,2,0,3,2,94,21,ESP-La Liga,2024,possession
