league,season,team,player,nation,pos,age,born,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,stat_type
FRA-Ligue 1,2024,Montpellier,Akor Adams,NGA,FW,25-072,2000.0,11.9,251,5,19,118,117,49,251,14,7,50.0,6,42.9,126,661,279,11,5,7,16,14,174,45,possession
FRA-Ligue 1,2024,Montpellier,Andy Delort,ALG,FW,33-184,1991.0,5.7,171,4,12,69,91,24,171,5,3,60.0,2,40.0,90,342,172,4,2,2,16,8,130,20,possession
FRA-Ligue 1,2024,Montpellier,Arnaud Nordin,FRA,FW,26-298,1998.0,13.0,499,6,63,190,259,49,497,51,23,45.1,23,45.1,323,2372,1247,51,21,22,37,14,359,111,possession
FRA-Ligue 1,2024,Montpellier,Axel Gueguin,FRA,FW,20-018,2005.0,0.3,9,0,2,3,4,1,9,1,0,0.0,1,100.0,2,4,1,0,0,0,1,0,4,1,possession
FRA-Ligue 1,2024,Montpellier,Bamo Meïté,CIV,DF,23-129,2001.0,4.5,194,23,100,81,13,2,194,1,1,100.0,0,0.0,90,367,191,1,2,0,3,3,132,1,possession
FRA-Ligue 1,2024,Montpellier,Becir Omeragic,SUI,"DF,MF",23-081,2002.0,14.0,719,109,330,361,37,6,719,13,10,76.9,3,23.1,385,2484,1395,16,5,1,5,3,451,3,possession
FRA-Ligue 1,2024,Montpellier,Benjamin Lecomte,FRA,GK,33-350,1991.0,24.0,936,717,920,17,0,0,936,0,0,,0,,510,3238,2087,0,0,0,0,0,450,0,possession
FRA-Ligue 1,2024,Montpellier,Birama Touré,MLI,"MF,DF",32-309,1992.0,3.3,157,21,71,65,22,3,157,0,0,,0,,86,287,71,0,1,1,6,0,99,2,possession
FRA-Ligue 1,2024,Montpellier,Boubakar Kouyaté,MLI,DF,27-361,1997.0,6.4,303,49,158,132,15,9,303,0,0,,0,,141,797,329,3,1,0,3,0,159,0,possession
FRA-Ligue 1,2024,Montpellier,Dimitry Bertaud,COD,GK,26-309,1998.0,3.0,99,83,99,0,0,0,99,0,0,,0,,47,265,138,0,0,0,0,0,38,0,possession
FRA-Ligue 1,2024,Montpellier,Enzo Tchato,CMR,DF,22-139,2002.0,19.6,1125,74,318,542,279,12,1125,13,6,46.2,6,46.2,500,2866,1620,42,31,2,16,3,619,86,possession
