league,season,team,player,nation,pos,age,born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,stat_type
ESP-La Liga,2022,Betis,Paul Akouokou,CIV,"MF,DF",24,1997,5.0,16,9,13,3,0,13,20,65.0,7,2,2,0,12,28,17,1,defense
ESP-La Liga,2022,Betis,Roberto González,ESP,"FW,MF",21,2001,0.6,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,defense
ESP-La Liga,2022,Betis,Rodri,ESP,"FW,MF",22,2000,17.8,16,11,5,9,2,8,17,47.1,9,10,0,10,13,29,2,0,defense
ESP-La Liga,2022,Betis,Rui Silva,POR,GK,28,1994,26.0,4,1,4,0,0,4,4,100.0,0,0,0,0,0,4,12,1,defense
ESP-La Liga,2022,Betis,Sergio Canales,ESP,"FW,MF",31,1991,26.7,25,14,10,8,7,14,33,42.4,19,18,0,18,14,39,8,0,defense
ESP-La Liga,2022,Betis,Víctor Ruiz,ESP,DF,33,1989,6.2,5,3,3,2,0,3,3,100.0,0,10,7,3,6,11,34,0,defense
ESP-La Liga,2022,Betis,William Carvalho,POR,MF,30,1992,27.1,43,27,18,23,2,17,44,38.6,27,27,6,21,16,59,22,0,defense
ESP-La Liga,2022,Betis,Willian José,BRA,FW,30,1991,8.1,9,6,6,3,0,4,9,44.4,5,4,0,4,1,10,15,0,defense
ESP-La Liga,2022,Betis,Youssouf Sabaly,SEN,DF,29,1993,18.7,45,23,29,14,2,22,33,66.7,11,35,8,27,19,64,52,1,defense
ESP-La Liga,2022,Betis,Álex Moreno,ESP,DF,29,1993,15.0,29,22,19,10,0,18,36,50.0,18,17,4,13,17,46,39,0,defense
ESP-La Liga,2022,Betis,Édgar González,ESP,DF,25,1997,19.7,28,19,18,7,3,14,27,51.9,13,12,9,3,21,49,120,0,defense
ESP-La Liga,2022,Celta Vigo,Agustín Marchesín,ARG,GK,34,1988,19.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,7,0,defense
ESP-La Liga,2022,Celta Vigo,Augusto Solari,ARG,MF,30,1992,2.9,10,6,6,3,1,3,11,27.3,8,5,0,5,4,14,3,0,defense
ESP-La Liga,2022,Celta Vigo,Carles Pérez,ESP,"MF,FW",24,1998,23.8,39,23,12,17,10,22,66,33.3,44,29,3,26,6,45,9,0,defense
ESP-La Liga,2022,Celta Vigo,Carlos Dominguez,ESP,DF,21,2001,1.2,1,1,0,1,0,1,2,50.0,1,1,1,0,0,1,7,0,defense
ESP-La Liga,2022,Celta Vigo,Fernando Medrano,ESP,DF,22,2000,0.1,2,1,2,0,0,1,1,100.0,0,0,0,0,1,3,1,0,defense
ESP-La Liga,2022,Celta Vigo,Fran Beltrán,ESP,MF,23,1999,31.7,34,22,15,14,5,14,55,25.5,41,29,5,24,53,87,35,2,defense
ESP-La Liga,2022,Celta Vigo,Franco Cervi,ARG,"MF,DF",28,1994,21.0,76,46,29,36,11,33,66,50.0,33,33,1,32,36,112,16,0,defense
ESP-La Liga,2022,Celta Vigo,Gabriel Veiga,ESP,MF,20,2002,25.5,43,19,14,25,4,16,52,30.8,36,30,3,27,21,64,6,0,defense
ESP-La Liga,2022,Celta Vigo,Gonçalo Paciência,POR,"FW,MF",27,1994,7.4,8,5,0,5,3,2,7,28.6,5,9,1,8,0,8,4,0,defense
ESP-La Liga,2022,Celta Vigo,Haris Seferović,SUI,FW,30,1992,9.9,6,3,1,4,1,3,8,37.5,5,7,1,6,1,7,6,1,defense
ESP-La Liga,2022,Celta Vigo,Hugo Mallo,ESP,DF,31,1991,24.0,53,29,34,14,5,28,42,66.7,14,28,7,21,24,77,73,0,defense
ESP-La Liga,2022,Celta Vigo,Hugo Sotelo,ESP,MF,18,2003,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
ESP-La Liga,2022,Celta Vigo,Iago Aspas,ESP,FW,34,1987,31.9,8,4,0,4,4,3,22,13.6,19,10,1,9,7,15,23,0,defense
ESP-La Liga,2022,Celta Vigo,Iván Villar,ESP,GK,25,1997,19.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,7,0,defense
ESP-La Liga,2022,Celta Vigo,Javi Galán,ESP,DF,27,1994,35.1,104,72,60,40,4,48,98,49.0,50,54,5,49,41,145,63,1,defense
ESP-La Liga,2022,Celta Vigo,Joseph Aidoo,GHA,DF,26,1995,34.7,51,36,33,17,1,16,28,57.1,12,26,14,12,31,82,150,0,defense
ESP-La Liga,2022,Celta Vigo,Jørgen Strand Larsen,NOR,FW,22,2000,18.9,15,7,3,5,7,7,30,23.3,23,14,5,9,3,18,24,0,defense
ESP-La Liga,2022,Celta Vigo,Kevin Vázquez,ESP,"DF,MF",29,1993,4.9,13,8,5,7,1,8,12,66.7,4,4,1,3,2,15,8,0,defense
ESP-La Liga,2022,Celta Vigo,Luca de la Torre,USA,MF,24,1998,16.5,28,19,11,14,3,12,32,37.5,20,22,1,21,9,37,6,0,defense
ESP-La Liga,2022,Celta Vigo,Miguel Rodríguez,ESP,"MF,FW",19,2003,2.8,7,5,4,3,0,4,11,36.4,7,6,0,6,1,8,3,0,defense
ESP-La Liga,2022,Celta Vigo,Pablo Durán,ESP,"MF,DF",21,2001,0.4,0,0,0,0,0,0,0,,0,2,1,1,1,1,2,0,defense
ESP-La Liga,2022,Celta Vigo,Renato Tapia,PER,"MF,DF",27,1995,16.1,47,25,21,21,5,18,37,48.6,19,29,11,18,19,66,37,0,defense
ESP-La Liga,2022,Celta Vigo,Unai Núñez,ESP,DF,25,1997,35.0,47,35,29,15,3,18,34,52.9,16,27,17,10,72,119,135,1,defense
ESP-La Liga,2022,Celta Vigo,Williot Swedberg,SWE,MF,18,2004,0.6,3,1,1,0,2,0,0,,0,2,0,2,0,3,1,0,defense
