league,season,team,player,nation,pos,age,born,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,stat_type
GER-Bundesliga,2024,Bochum,Cristian Gamboa,CRC,DF,35-169,1989.0,1.8,1,4,1,25.0,2.22,0.56,0.25,1.0,21.7,0,0,0,0.2,0.2,0.04,0.8,0.8,shooting
GER-Bundesliga,2024,Bochum,Dani de Wit,NED,"MF,FW",27-073,1998.0,11.8,2,18,5,27.8,1.52,0.42,0.11,0.4,11.8,0,0,0,1.8,1.8,0.1,0.2,0.2,shooting
GER-Bundesliga,2024,Bochum,Erhan Mašović,SRB,DF,26-140,1998.0,10.0,1,7,4,57.1,0.7,0.4,0.14,0.25,11.0,0,0,0,0.6,0.6,0.09,0.4,0.4,shooting
GER-Bundesliga,2024,Bochum,Felix Passlack,GER,"DF,MF",26-317,1998.0,21.7,1,23,4,17.4,1.06,0.18,0.04,0.25,20.3,1,0,0,1.1,1.1,0.05,-0.1,-0.1,shooting
GER-Bundesliga,2024,Bochum,Gerrit Holtmann,PHI,"DF,FW",30-017,1995.0,10.9,1,24,4,16.7,2.21,0.37,0.04,0.25,20.9,0,0,0,1.8,1.8,0.07,-0.8,-0.8,shooting
GER-Bundesliga,2024,Bochum,Giorgos Masouras,GRE,"FW,MF",31-100,1994.0,6.8,2,17,11,64.7,2.52,1.63,0.12,0.18,12.5,0,0,0,2.9,2.9,0.17,-0.9,-0.9,shooting
GER-Bundesliga,2024,Bochum,Ibrahima Sissoko,MLI,MF,27-166,1997.0,24.7,2,21,6,28.6,0.85,0.24,0.1,0.33,18.2,0,0,0,1.3,1.3,0.06,0.7,0.7,shooting
GER-Bundesliga,2024,Bochum,Ivan Ordets,UKR,DF,32-277,1992.0,17.7,0,9,0,0.0,0.51,0.0,0.0,,10.3,0,0,0,0.6,0.6,0.06,-0.6,-0.6,shooting
GER-Bundesliga,2024,Bochum,Jakov Medić,CRO,DF,26-216,1998.0,14.9,1,11,2,18.2,0.74,0.13,0.09,0.5,13.4,0,0,0,0.7,0.7,0.06,0.3,0.3,shooting
GER-Bundesliga,2024,Bochum,Koji Miyoshi,JPN,"FW,MF",28-016,1997.0,5.0,1,12,5,41.7,2.4,1.0,0.08,0.2,21.1,0,0,0,1.1,1.1,0.09,-0.1,-0.1,shooting
GER-Bundesliga,2024,Bochum,Lukas Daschner,GER,"MF,FW",26-192,1998.0,4.6,1,8,4,50.0,1.75,0.87,0.13,0.25,15.8,0,0,1,2.7,1.9,0.24,-1.7,-0.9,shooting
GER-Bundesliga,2024,Bochum,Mats Pannewig,GER,MF,20-165,2004.0,1.5,0,5,0,0.0,3.24,0.0,0.0,,14.4,0,0,0,0.2,0.2,0.05,-0.2,-0.2,shooting
GER-Bundesliga,2024,Bochum,Matúš Bero,SVK,MF,29-217,1995.0,24.0,4,28,11,39.3,1.17,0.46,0.14,0.36,16.7,1,0,0,2.9,2.9,0.1,1.1,1.1,shooting
GER-Bundesliga,2024,Bochum,Maximilian Wittek,GER,DF,29-233,1995.0,24.1,0,35,6,17.1,1.45,0.25,0.0,0.0,26.7,6,0,0,1.1,1.1,0.03,-1.1,-1.1,shooting
GER-Bundesliga,2024,Bochum,Moritz Broschinski,GER,"FW,MF",24-200,2000.0,14.2,1,36,11,30.6,2.53,0.77,0.03,0.09,17.2,0,0,0,4.1,4.1,0.11,-3.1,-3.1,shooting
GER-Bundesliga,2024,Bochum,Moritz-Broni Kwarteng,GHA,"MF,FW",26-348,1998.0,1.9,0,6,1,16.7,3.14,0.52,0.0,0.0,25.5,0,0,0,0.2,0.2,0.03,-0.2,-0.2,shooting
GER-Bundesliga,2024,Bochum,Myron Boadu,NED,FW,24-087,2001.0,7.5,7,20,9,45.0,2.66,1.2,0.3,0.67,11.9,0,1,1,5.6,4.8,0.24,1.4,1.2,shooting
GER-Bundesliga,2024,Bochum,Patrick Drewes,GER,GK,32-066,1993.0,21.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
GER-Bundesliga,2024,Bochum,Philipp Hofmann,GER,FW,32-012,1993.0,22.7,2,42,15,35.7,1.85,0.66,0.05,0.13,13.9,0,0,0,4.2,4.2,0.1,-2.2,-2.2,shooting
GER-Bundesliga,2024,Bochum,Samuel Bamba,GER,"FW,DF",21-057,2004.0,0.2,0,1,1,100.0,6.43,6.43,0.0,0.0,11.6,0,0,0,0.1,0.1,0.07,-0.1,-0.1,shooting
GER-Bundesliga,2024,Bochum,Tim Oermann,GER,DF,21-187,2003.0,18.9,0,7,0,0.0,0.37,0.0,0.0,,30.2,0,0,0,0.1,0.1,0.01,-0.1,-0.1,shooting
GER-Bundesliga,2024,Bochum,Timo Horn,GER,GK,31-334,1993.0,7.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
GER-Bundesliga,2024,Bochum,Tom Krauß,GER,MF,23-293,2001.0,7.5,0,6,2,33.3,0.8,0.27,0.0,0.0,23.7,0,0,0,0.3,0.3,0.04,-0.3,-0.3,shooting
GER-Bundesliga,2024,Dortmund,Alexander Meyer,GER,GK,33-363,1991.0,2.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
GER-Bundesliga,2024,Dortmund,Almugera Kabar,GER,DF,18-309,2006.0,1.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
GER-Bundesliga,2024,Dortmund,Ayman Azhil,MAR,MF,24-001,2001.0,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
