league,season,team,player,nation,pos,age,born,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,stat_type
,,,,,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,
GER-Bundesliga,2023,Bochum,Tim Oermann,GER,DF,19,2003,7.9,2,0,0,8,8,0,8,2,11,0,0,0,27,7,12,36.8,misc
GER-Bundesliga,2023,Darmstadt 98,Aaron Seydel,GER,FW,27,1996,6.9,1,0,0,9,7,2,1,1,2,0,0,0,14,45,31,59.2,misc
GER-Bundesliga,2023,Darmstadt 98,Alexander Brunst,GER,GK,28,1995,3.0,2,0,0,0,2,0,0,0,0,0,0,0,7,0,0,,misc
GER-Bundesliga,2023,Darmstadt 98,Andreas Müller,GER,MF,23,2000,3.9,3,0,0,5,4,0,2,4,9,0,0,0,20,3,1,75.0,misc
GER-Bundesliga,2023,Darmstadt 98,Asaf Arania,ISR,MF,17,2005,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,misc
GER-Bundesliga,2023,Darmstadt 98,Bartol Franjić,CRO,MF,23,2000,13.7,5,0,0,20,2,0,4,30,12,0,0,0,63,17,19,47.2,misc
GER-Bundesliga,2023,Darmstadt 98,Braydon Manu,GHA,MF,26,1997,1.9,1,0,0,4,1,0,4,0,0,0,0,0,7,0,3,0.0,misc
GER-Bundesliga,2023,Darmstadt 98,Christoph Klarer,AUT,DF,23,2000,26.2,9,0,0,29,13,4,8,21,22,0,0,0,87,42,38,52.5,misc
GER-Bundesliga,2023,Darmstadt 98,Christoph Zimmermann,GER,DF,30,1993,13.6,5,0,0,13,10,1,0,21,21,0,0,1,53,29,21,58.0,misc
GER-Bundesliga,2023,Darmstadt 98,Clemens Riedel,GER,DF,20,2003,8.4,2,0,0,10,4,0,8,11,13,0,0,0,57,11,14,44.0,misc
GER-Bundesliga,2023,Darmstadt 98,Emir Karic,AUT,DF,26,1997,19.8,4,0,0,17,7,5,52,13,27,0,0,0,76,21,16,56.8,misc
