league,season,team,player,nation,pos,age,born,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,stat_type
ITA-Serie A,2024,Parma,Giovanni Leoni,ITA,DF,18-111,2006,8.0,496,38,234,241,23,4,496,2,2,100.0,0,0.0,303,1325,617,0,2,0,4,1,332,5,possession
ITA-Serie A,2024,Parma,Hernani,BRA,MF,31-015,1994,11.9,659,15,120,356,197,13,656,20,7,35.0,6,30.0,369,2067,1046,26,31,2,12,12,422,29,possession
ITA-Serie A,2024,Parma,Jacob Ondrejka,SWE,"FW,MF",22-221,2002,1.5,72,1,13,21,39,6,72,3,3,100.0,0,0.0,43,207,113,3,4,2,4,1,42,9,possession
ITA-Serie A,2024,Parma,Lautaro Valenti,ARG,DF,26-087,1999,12.0,734,135,415,299,21,10,734,0,0,,0,,408,1567,619,1,1,0,4,0,460,2,possession
ITA-Serie A,2024,Parma,Leandro Chichizola,ARG,GK,35-015,1990,1.0,54,45,53,1,0,0,54,0,0,,0,,30,156,107,0,0,0,0,0,31,0,possession
ITA-Serie A,2024,Parma,Mandela Keita,BEL,MF,22-336,2002,14.2,653,31,158,397,109,0,653,20,10,50.0,5,25.0,416,2061,905,9,17,0,20,14,436,5,possession
ITA-Serie A,2024,Parma,Mateo Pellegrino,ARG,FW,24-041,2001,2.4,77,2,7,30,41,12,77,1,1,100.0,0,0.0,55,164,41,2,1,1,10,4,64,18,possession
ITA-Serie A,2024,Parma,Mateusz Kowalski,POL,MF,19-264,2005,0.6,18,1,2,10,6,2,18,0,0,,0,,9,31,10,0,0,0,2,2,14,2,possession
ITA-Serie A,2024,Parma,Mathias Løvik,NOR,"DF,FW",21-126,2003,0.9,64,5,17,29,19,2,64,3,1,33.3,2,66.7,40,155,56,0,1,0,4,1,44,6,possession
ITA-Serie A,2024,Parma,Matteo Cancellieri,ITA,"FW,MF",23-058,2002,15.8,530,20,103,210,229,39,530,70,28,40.0,33,47.1,314,2108,1025,40,20,16,34,24,348,79,possession
ITA-Serie A,2024,Parma,Milan Đurić,BIH,FW,34-324,1990,2.1,57,0,4,24,29,10,57,1,1,100.0,0,0.0,22,53,7,0,0,0,1,1,42,6,possession
ITA-Serie A,2024,Parma,Mohamed Haj,TUN,MF,20-016,2005,5.0,207,10,30,86,95,18,207,14,4,28.6,10,71.4,122,487,192,6,3,4,10,1,135,28,possession
