nation,pos,age,born,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,league,season,stat_type
,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,,,
ESP,MF,21-004,2004,1.7,1,0,0,4,1,0,1,2,1,0,0,0,12,0,2,0.0,ESP-La Liga,2024,misc
FRA,MF,31-267,1993,2.0,0,0,0,3,7,0,10,0,2,0,0,0,3,0,2,0.0,ESP-La Liga,2024,misc
BRA,DF,24-064,2001,16.7,3,1,0,13,8,0,2,18,18,0,0,0,46,48,22,68.6,ESP-La Liga,2024,misc
ESP,"MF,FW",29-048,1996,14.9,2,0,0,10,11,2,46,17,10,0,0,0,76,17,16,51.5,ESP-La Liga,2024,misc
ESP,FW,18-239,2006,0.3,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,,ESP-La Liga,2024,misc
SUI,DF,32-229,1992,10.7,0,0,0,10,5,0,14,6,12,0,0,0,41,18,14,56.3,ESP-La Liga,2024,misc
ESP,FW,24-330,2000,1.3,0,0,0,2,2,1,6,1,1,0,0,0,10,0,2,0.0,ESP-La Liga,2024,misc
FRA,DF,27-201,1997,17.7,6,1,0,23,34,5,56,19,19,0,1,0,76,8,13,38.1,ESP-La Liga,2024,misc
POR,GK,31-063,1994,15.0,1,0,0,1,2,0,0,0,0,0,1,0,25,2,0,100.0,ESP-La Liga,2024,misc
ESP,MF,23-229,2001,18.3,3,0,0,30,31,0,4,17,32,1,0,0,96,9,17,34.6,ESP-La Liga,2024,misc
ESP,DF,22-060,2003,1.0,0,0,0,0,0,0,0,3,4,0,0,0,3,1,0,100.0,ESP-La Liga,2024,misc
BRA,FW,20-042,2005,13.7,4,0,0,30,30,5,6,7,6,2,0,0,35,15,29,34.1,ESP-La Liga,2024,misc
POR,MF,33-004,1992,3.2,0,0,0,5,0,0,1,3,3,0,0,0,18,5,2,71.4,ESP-La Liga,2024,misc
SEN,DF,32-037,1993,15.8,1,0,0,15,11,1,27,13,24,0,0,0,72,9,12,42.9,ESP-La Liga,2024,misc
ESP,DF,20-260,2004,3.8,0,0,0,6,6,0,18,5,7,0,0,0,14,5,7,41.7,ESP-La Liga,2024,misc
ESP,"FW,MF",25-342,1999,10.4,1,1,0,14,21,6,27,4,2,1,0,0,30,3,9,25.0,ESP-La Liga,2024,misc
GRE,FW,25-252,1999,7.8,2,0,0,10,27,9,1,3,4,0,0,0,15,14,23,37.8,ESP-La Liga,2024,misc
ESP,FW,32-084,1993,17.6,2,0,0,35,28,11,3,4,7,2,0,0,40,10,23,30.3,ESP-La Liga,2024,misc
SWE,DF,29-314,1995,25.1,5,0,0,21,11,0,0,31,17,0,0,0,77,60,51,54.1,ESP-La Liga,2024,misc
ESP,DF,24-059,2001,8.2,1,0,0,7,6,0,0,7,10,0,0,1,30,22,6,78.6,ESP-La Liga,2024,misc
ESP,MF,22-025,2003,8.8,3,0,0,13,8,0,25,6,8,0,0,0,43,0,4,0.0,ESP-La Liga,2024,misc
,"FW,MF",,,3.6,2,0,0,11,3,0,2,1,3,0,0,0,12,1,3,25.0,ESP-La Liga,2024,misc
ESP,MF,26-067,1999,20.3,2,0,0,24,9,0,3,19,26,0,1,0,89,19,20,48.7,ESP-La Liga,2024,misc
ARG,"FW,MF",30-320,1994,2.9,1,0,0,4,1,0,6,8,3,0,0,0,12,4,4,50.0,ESP-La Liga,2024,misc
ESP,MF,21-113,2003,12.6,4,0,0,17,9,1,43,4,15,0,0,0,67,2,10,16.7,ESP-La Liga,2024,misc
ESP,"MF,DF",21-283,2003,15.4,5,0,0,22,14,2,28,7,9,0,1,0,70,5,5,50.0,ESP-La Liga,2024,misc
ESP,"FW,MF",37-253,1987,16.4,4,1,1,15,31,5,10,6,8,1,0,0,49,7,7,50.0,ESP-La Liga,2024,misc
ESP,"FW,MF",23-253,2001,3.1,2,0,0,3,0,0,5,1,3,0,0,0,8,1,4,20.0,ESP-La Liga,2024,misc
GUI,MF,22-082,2003,17.3,7,1,1,22,46,2,5,10,29,0,0,0,81,17,22,43.6,ESP-La Liga,2024,misc
ESP,GK,27-276,1997,4.0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,1,50.0,ESP-La Liga,2024,misc
BRA,"DF,MF",29-216,1995,6.5,1,0,0,3,4,0,1,9,11,0,0,1,31,15,15,50.0,ESP-La Liga,2024,misc
ESP,DF,21-289,2003,21.6,6,0,0,27,16,0,2,29,33,0,0,0,68,34,25,57.6,ESP-La Liga,2024,misc
ESP,DF,30-341,1994,5.7,1,0,0,9,1,0,3,7,5,0,0,0,18,5,8,38.5,ESP-La Liga,2024,misc
CIV,"FW,MF",29-016,1996,9.0,1,0,0,7,17,4,25,5,7,0,0,0,52,5,10,33.3,ESP-La Liga,2024,misc
GHA,DF,29-194,1995,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,ESP-La Liga,2024,misc
USA,MF,26-323,1998,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,ESP-La Liga,2024,misc
ESP,DF,34-104,1990,23.0,9,1,1,23,21,2,32,27,18,0,0,0,132,59,38,60.8,ESP-La Liga,2024,misc
SRB,"MF,DF",29-162,1995,2.7,1,0,0,6,2,0,5,1,3,0,0,0,13,0,8,0.0,ESP-La Liga,2024,misc
ESP,"FW,MF",23-321,2001,11.0,3,0,0,23,13,4,16,7,6,0,0,0,33,6,23,20.7,ESP-La Liga,2024,misc
ESP,"MF,DF",24-180,2000,13.6,0,0,0,13,4,2,39,11,16,0,0,0,51,3,12,20.0,ESP-La Liga,2024,misc
ARG,FW,26-050,1999,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,ESP-La Liga,2024,misc
ESP,GK,38-091,1987,26.0,0,0,0,0,4,0,0,0,0,0,0,0,59,9,0,100.0,ESP-La Liga,2024,misc
SWE,"FW,MF",21-069,2004,11.8,1,0,0,16,25,7,18,3,12,0,0,0,38,7,13,35.0,ESP-La Liga,2024,misc
ESP,DF,21-017,2004,1.5,0,0,0,1,1,0,0,2,1,0,0,0,6,1,1,50.0,ESP-La Liga,2024,misc
ESP,"MF,DF",25-333,1999,23.1,5,1,0,19,19,2,92,16,18,1,0,0,108,10,9,52.6,ESP-La Liga,2024,misc
ARG,FW,21-204,2003,11.0,3,0,0,17,26,5,0,4,1,0,0,0,20,44,50,46.8,ESP-La Liga,2024,misc
CZE,MF,26-327,1998,27.3,1,0,0,27,22,0,35,23,33,0,0,0,112,33,27,55.0,ESP-La Liga,2024,misc
ESP,"MF,FW",22-218,2002,6.4,3,0,0,12,12,4,13,7,6,0,0,0,20,5,11,31.3,ESP-La Liga,2024,misc
ESP,DF,31-010,1994,11.3,2,0,0,13,6,3,55,10,10,0,0,0,28,3,10,23.1,ESP-La Liga,2024,misc
ESP,"DF,MF",23-164,2001,19.5,5,0,0,22,9,1,56,19,28,0,2,0,86,11,18,37.9,ESP-La Liga,2024,misc
ESP,"MF,FW",28-253,1996,3.7,2,0,0,7,7,0,24,5,4,0,0,0,21,3,7,30.0,ESP-La Liga,2024,misc
ESP,"DF,MF",29-209,1995,4.8,0,0,0,4,5,0,0,12,4,0,0,0,14,6,8,42.9,ESP-La Liga,2024,misc
FRA,"FW,MF",27-246,1997,6.7,1,0,0,8,8,5,14,4,5,0,0,0,19,8,11,42.1,ESP-La Liga,2024,misc
ESP,"FW,MF",26-321,1998,25.7,5,0,0,15,21,4,19,4,12,1,0,0,72,7,25,21.9,ESP-La Liga,2024,misc
ESP,GK,23-342,2001,29.0,2,0,0,0,4,0,0,0,0,0,0,0,27,15,1,93.8,ESP-La Liga,2024,misc
ESP,"MF,FW",23-298,2001,19.7,5,0,0,24,46,3,37,13,13,0,0,0,91,3,11,21.4,ESP-La Liga,2024,misc
ESP,MF,24-132,2000,6.3,0,0,0,18,8,0,0,5,16,0,0,0,18,11,5,68.8,ESP-La Liga,2024,misc
CAN,MF,22-066,2003,2.3,0,0,0,5,2,0,1,4,3,0,0,0,8,3,0,100.0,ESP-La Liga,2024,misc
URU,DF,33-298,1991,24.0,3,0,0,17,7,0,14,26,18,1,1,0,64,59,37,61.5,ESP-La Liga,2024,misc
ALB,DF,25-062,2000,25.2,7,0,0,30,24,0,4,25,18,0,0,0,60,53,32,62.4,ESP-La Liga,2024,misc
NED,"MF,DF",21-302,2003,0.3,0,0,0,0,1,1,2,0,2,0,0,0,3,0,0,,ESP-La Liga,2024,misc
MAR,DF,21-211,2003,27.4,10,0,0,43,23,3,41,38,68,0,2,0,110,25,20,55.6,ESP-La Liga,2024,misc
ESP,"MF,FW",32-200,1992,3.0,3,0,0,4,10,2,9,2,1,0,0,0,17,4,6,40.0,ESP-La Liga,2024,misc
