nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,league,season,stat_type
,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,,,
ARG,GK,27,1993,32.0,1,0,1,0,0,1,1,100.0,0,1,0,1,0,1,22,6,ESP-La Liga,2021,defense
ESP,MF,30,1989,8.9,18,10,8,7,3,10,26,38.5,16,12,4,8,14,32,13,0,ESP-La Liga,2021,defense
ESP,"FW,MF",26,1994,5.8,7,3,3,2,2,1,8,12.5,7,2,0,2,2,9,3,0,ESP-La Liga,2021,defense
ESP,MF,32,1987,16.1,32,17,13,18,1,14,31,45.2,17,16,7,9,27,59,33,1,ESP-La Liga,2021,defense
ESP,DF,20,1999,1.0,2,1,2,0,0,0,2,0.0,2,1,0,1,2,4,2,1,ESP-La Liga,2021,defense
ARG,DF,29,1991,20.3,23,15,15,8,0,15,24,62.5,9,18,12,6,22,45,78,0,ESP-La Liga,2021,defense
ESP,FW,25,1995,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,ESP-La Liga,2021,defense
ESP,"FW,DF",22,1998,0.2,1,1,0,1,0,0,0,,0,0,0,0,0,1,1,0,ESP-La Liga,2021,defense
ESP,DF,31,1989,10.1,8,4,6,2,0,3,5,60.0,2,19,13,6,16,24,50,0,ESP-La Liga,2021,defense
ESP,"FW,MF",28,1992,12.4,29,13,8,16,5,8,18,44.4,10,19,0,19,15,44,11,0,ESP-La Liga,2021,defense
ESP,"MF,FW",29,1991,21.5,18,10,14,3,1,8,26,30.8,18,14,1,13,20,38,24,0,ESP-La Liga,2021,defense
ESP,"MF,DF",23,1997,1.0,1,0,0,1,0,1,2,50.0,1,0,0,0,2,3,0,0,ESP-La Liga,2021,defense
FRA,MF,25,1995,2.8,2,2,1,1,0,1,6,16.7,5,7,3,4,8,10,4,0,ESP-La Liga,2021,defense
ESP,MF,27,1992,21.6,19,9,8,8,3,8,30,26.7,22,14,1,13,22,41,15,0,ESP-La Liga,2021,defense
ESP,DF,22,1998,1.1,2,0,1,1,0,2,4,50.0,2,1,1,0,0,2,6,0,ESP-La Liga,2021,defense
ESP,MF,16,2004,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,ESP-La Liga,2021,defense
ESP,FW,29,1991,4.5,4,2,2,2,0,0,3,0.0,3,2,0,2,2,6,3,0,ESP-La Liga,2021,defense
ESP,FW,34,1985,24.4,11,5,3,4,4,5,11,45.5,6,7,2,5,3,14,19,0,ESP-La Liga,2021,defense
ESP,MF,23,1997,4.9,5,4,2,2,1,1,10,10.0,9,5,0,5,8,13,2,0,ESP-La Liga,2021,defense
ESP,"DF,MF",21,1999,24.3,38,22,17,15,6,17,38,44.7,21,35,2,33,27,65,40,1,ESP-La Liga,2021,defense
ESP,DF,33,1987,31.2,45,26,31,11,3,27,54,50.0,27,36,11,25,69,114,73,1,ESP-La Liga,2021,defense
