league,season,team,player,nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,stat_type
,,,,,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,
ESP-La Liga,2024,Celta Vigo,Carl Starfelt,SWE,DF,29-314,1995,25.1,37,17,23,13,1,15,24,62.5,9,29,21,8,31,68,129,3,defense
ESP-La Liga,2024,Celta Vigo,Carlos Dominguez,ESP,DF,24-059,2001,8.2,16,10,11,5,0,11,15,73.3,4,8,6,2,7,23,43,0,defense
ESP-La Liga,2024,Celta Vigo,Damián Rodríguez,ESP,MF,22-025,2003,8.8,13,8,3,9,1,6,15,40.0,9,6,1,5,6,19,11,0,defense
ESP-La Liga,2024,Celta Vigo,Fer López,,"FW,MF",,,3.6,6,3,1,3,2,0,5,0.0,5,6,0,6,1,7,6,0,defense
ESP-La Liga,2024,Celta Vigo,Fran Beltrán,ESP,MF,26-067,1999,20.3,36,26,18,13,5,17,42,40.5,25,22,5,17,19,55,27,3,defense
ESP-La Liga,2024,Celta Vigo,Franco Cervi,ARG,"FW,MF",30-320,1994,2.9,8,3,2,6,0,3,7,42.9,4,4,0,4,8,16,6,0,defense
ESP-La Liga,2024,Celta Vigo,Hugo Sotelo,ESP,MF,21-113,2003,12.6,25,15,8,9,8,11,25,44.0,14,8,1,7,4,29,8,1,defense
ESP-La Liga,2024,Celta Vigo,Hugo Álvarez,ESP,"MF,DF",21-283,2003,15.4,23,9,11,10,2,9,17,52.9,8,18,1,17,7,30,25,1,defense
ESP-La Liga,2024,Celta Vigo,Iago Aspas,ESP,"FW,MF",37-253,1987,16.4,13,8,4,5,4,8,18,44.4,10,16,1,15,6,19,4,0,defense
ESP-La Liga,2024,Celta Vigo,Iker Losada,ESP,"FW,MF",23-253,2001,3.1,3,3,0,1,2,1,5,20.0,4,2,0,2,1,4,5,0,defense
