league,season,team,player,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,stat_type
,,,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,
FRA-Ligue 1,2020,Montpellier,Clément Vidal,FRA,DF,20,2000,2,1,86,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard
FRA-Ligue 1,2020,Montpellier,Damien Le Tallec,FRA,"MF,DF",30,1990,23,13,1227,13.6,0,0,0,0,0,0,3,1,1.5,1.5,0.6,2.1,8,46,8,0.0,0.0,0.0,0.0,0.0,0.11,0.04,0.15,0.11,0.15,standard
FRA-Ligue 1,2020,Montpellier,Daniel Congré,FRA,DF,35,1985,38,38,3292,36.6,2,0,2,2,0,0,4,0,1.3,1.3,0.2,1.5,26,101,4,0.05,0.0,0.05,0.05,0.05,0.03,0.01,0.04,0.03,0.04,standard
FRA-Ligue 1,2020,Montpellier,Dimitry Bertaud,COD,GK,22,1998,9,7,745,8.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard
FRA-Ligue 1,2020,Montpellier,Elye Wahi,FRA,FW,17,2003,18,3,555,6.2,3,1,4,3,0,0,1,0,2.5,2.5,0.4,2.8,16,6,44,0.49,0.16,0.65,0.49,0.65,0.4,0.06,0.45,0.4,0.45,standard
FRA-Ligue 1,2020,Montpellier,Florent Mollet,FRA,MF,28,1991,34,30,2355,26.2,3,5,8,3,0,0,5,2,4.2,4.2,3.4,7.6,48,143,127,0.11,0.19,0.31,0.11,0.31,0.16,0.13,0.29,0.16,0.29,standard
FRA-Ligue 1,2020,Montpellier,Gaëtan Laborde,FRA,"FW,MF",26,1994,38,38,3256,36.2,16,8,24,16,0,0,3,0,11.4,11.2,4.6,15.8,81,71,237,0.44,0.22,0.66,0.44,0.66,0.31,0.13,0.44,0.31,0.44,standard
FRA-Ligue 1,2020,Montpellier,Jonas Omlin,SUI,GK,26,1994,31,31,2673,29.7,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard
FRA-Ligue 1,2020,Montpellier,Jordan Ferri,FRA,MF,28,1992,34,31,2577,28.6,0,3,3,0,0,0,6,0,0.1,0.1,1.7,1.9,36,192,41,0.0,0.1,0.1,0.0,0.1,0.0,0.06,0.06,0.0,0.06,standard
FRA-Ligue 1,2020,Montpellier,Joris Chotard,FRA,MF,18,2001,29,11,1165,12.9,0,0,0,0,0,0,3,0,0.5,0.5,0.7,1.2,5,31,21,0.0,0.0,0.0,0.0,0.0,0.04,0.05,0.09,0.04,0.09,standard
