league,season,team,player,nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,stat_type
,,,,,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,
GER-Bundesliga,2023,Bochum,Noah Loosli,SUI,DF,26,1997,3.8,10,7,6,4,0,7,14,50.0,7,7,1,6,7,17,18,0,defense
GER-Bundesliga,2023,Bochum,Patrick Osterhage,GER,MF,23,2000,20.7,38,26,14,23,1,17,36,47.2,19,36,9,27,27,65,32,1,defense
GER-Bundesliga,2023,Bochum,Philipp Förster,GER,"MF,FW",28,1995,4.3,9,5,3,4,2,2,6,33.3,4,3,0,3,7,16,3,0,defense
GER-Bundesliga,2023,Bochum,Philipp Hofmann,GER,FW,30,1993,17.5,10,5,4,5,1,4,7,57.1,3,11,2,9,4,14,17,0,defense
GER-Bundesliga,2023,Bochum,Simon Zoller,GER,"FW,MF",32,1991,0.5,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,defense
GER-Bundesliga,2023,Bochum,Takuma Asano,JPN,"FW,MF",28,1994,22.1,17,6,2,9,6,7,23,30.4,16,17,3,14,4,21,11,0,defense
GER-Bundesliga,2023,Bochum,Tim Oermann,GER,DF,19,2003,7.9,19,11,11,4,4,9,14,64.3,5,15,6,9,2,21,22,0,defense
GER-Bundesliga,2023,Darmstadt 98,Aaron Seydel,GER,FW,27,1996,6.9,3,2,0,2,1,0,3,0.0,3,8,2,6,1,4,9,0,defense
GER-Bundesliga,2023,Darmstadt 98,Alexander Brunst,GER,GK,28,1995,3.0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,2,1,defense
GER-Bundesliga,2023,Darmstadt 98,Andreas Müller,GER,MF,23,2000,3.9,14,9,8,5,1,4,9,44.4,5,5,2,3,4,18,5,0,defense
GER-Bundesliga,2023,Darmstadt 98,Asaf Arania,ISR,MF,17,2005,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
GER-Bundesliga,2023,Darmstadt 98,Bartol Franjić,CRO,MF,23,2000,13.7,15,12,4,10,1,7,28,25.0,21,12,4,8,30,45,29,2,defense
GER-Bundesliga,2023,Darmstadt 98,Braydon Manu,GHA,MF,26,1997,1.9,2,0,0,1,1,0,0,,0,1,0,1,0,2,0,0,defense
GER-Bundesliga,2023,Darmstadt 98,Christoph Klarer,AUT,DF,23,2000,26.2,37,22,30,4,3,24,36,66.7,12,31,20,11,21,58,94,1,defense
GER-Bundesliga,2023,Darmstadt 98,Christoph Zimmermann,GER,DF,30,1993,13.6,33,21,26,7,0,19,39,48.7,20,21,14,7,21,54,66,1,defense
GER-Bundesliga,2023,Darmstadt 98,Clemens Riedel,GER,DF,20,2003,8.4,22,13,16,5,1,15,24,62.5,9,11,3,8,11,33,26,0,defense
GER-Bundesliga,2023,Darmstadt 98,Emir Karic,AUT,DF,26,1997,19.8,45,27,23,14,8,21,33,63.6,12,42,11,31,13,58,43,0,defense
GER-Bundesliga,2023,Darmstadt 98,Fabian Holland,GER,"MF,DF",33,1990,20.4,47,26,18,21,8,20,37,54.1,17,22,12,10,24,71,29,0,defense
GER-Bundesliga,2023,Darmstadt 98,Fabian Nürnberger,BUL,"DF,MF",24,1999,16.8,29,22,22,6,1,22,41,53.7,19,11,1,10,17,46,26,0,defense
GER-Bundesliga,2023,Darmstadt 98,Fabian Schnellhardt,GER,MF,29,1994,2.6,4,1,2,1,1,1,3,33.3,2,1,0,1,4,8,5,0,defense
GER-Bundesliga,2023,Darmstadt 98,Fabio Torsiello,ITA,"FW,DF",18,2005,1.7,1,0,1,0,0,1,8,12.5,7,1,0,1,1,2,1,0,defense
GER-Bundesliga,2023,Darmstadt 98,Filip Stojilković,SUI,"FW,MF",23,2000,1.7,1,1,0,0,1,0,0,,0,0,0,0,0,1,1,0,defense
GER-Bundesliga,2023,Darmstadt 98,Frank Ronstadt,GER,"DF,MF",26,1997,0.8,1,0,0,1,0,0,1,0.0,1,1,0,1,1,2,3,0,defense
GER-Bundesliga,2023,Darmstadt 98,Fraser Hornby,SCO,"FW,MF",23,1999,2.4,0,0,0,0,0,0,1,0.0,1,2,1,1,0,0,4,0,defense
GER-Bundesliga,2023,Darmstadt 98,Gerrit Holtmann,PHI,"MF,FW",28,1995,4.4,8,5,3,4,1,7,10,70.0,3,7,0,7,2,10,4,1,defense
GER-Bundesliga,2023,Darmstadt 98,Jannik Müller,GER,"DF,MF",29,1994,12.6,33,16,21,9,3,16,27,59.3,11,24,12,12,17,50,39,1,defense
GER-Bundesliga,2023,Darmstadt 98,Julian Justvan,GER,"MF,FW",25,1998,11.4,10,4,2,7,1,3,17,17.6,14,12,2,10,11,21,6,1,defense
GER-Bundesliga,2023,Darmstadt 98,Klaus Gjasula,ALB,"DF,MF",33,1989,15.1,44,22,18,25,1,17,30,56.7,13,26,14,12,19,63,42,2,defense
GER-Bundesliga,2023,Darmstadt 98,Luca Pfeiffer,GER,"FW,MF",26,1996,18.0,11,6,2,6,3,5,11,45.5,6,5,1,4,2,13,21,0,defense
GER-Bundesliga,2023,Darmstadt 98,Marcel Schuhen,GER,GK,30,1993,31.0,1,0,1,0,0,1,3,33.3,2,0,0,0,2,3,11,4,defense
GER-Bundesliga,2023,Darmstadt 98,Marvin Mehlem,GER,MF,25,1997,16.5,28,21,10,14,4,11,27,40.7,16,21,2,19,33,61,15,0,defense
GER-Bundesliga,2023,Darmstadt 98,Matej Maglica,CRO,DF,24,1998,18.9,35,21,25,10,0,22,36,61.1,14,29,11,18,22,57,92,5,defense
GER-Bundesliga,2023,Darmstadt 98,Mathias Honsak,AUT,"FW,MF",26,1996,11.3,14,7,7,6,1,6,20,30.0,14,14,2,12,8,22,25,0,defense
GER-Bundesliga,2023,Darmstadt 98,Matthias Bader,GER,"DF,MF",26,1997,20.0,51,25,32,11,8,33,65,50.8,32,22,4,18,25,76,20,0,defense
GER-Bundesliga,2023,Darmstadt 98,Oscar Vilhelmsson,SWE,"FW,MF",19,2003,15.3,13,6,3,7,3,7,10,70.0,3,15,5,10,3,16,19,0,defense
GER-Bundesliga,2023,Darmstadt 98,Sebastian Polter,GER,FW,32,1991,5.0,1,0,1,0,0,0,1,0.0,1,5,1,4,0,1,4,0,defense
GER-Bundesliga,2023,Darmstadt 98,Thomas Isherwood,SWE,DF,25,1998,7.1,11,5,7,3,1,5,9,55.6,4,10,7,3,10,21,34,0,defense
GER-Bundesliga,2023,Darmstadt 98,Tim Skarke,GER,"FW,DF",26,1996,26.7,26,16,12,10,4,10,28,35.7,18,25,2,23,6,32,20,0,defense
GER-Bundesliga,2023,Darmstadt 98,Tobias Kempe,GER,MF,34,1989,15.0,20,13,9,8,3,8,24,33.3,16,16,4,12,9,29,12,0,defense
GER-Bundesliga,2023,Dortmund,Alexander Meyer,GER,GK,32,1991,7.7,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,2,1,defense
GER-Bundesliga,2023,Dortmund,Antonios Papadopoulos,GER,DF,23,1999,1.3,6,3,6,0,0,6,7,85.7,1,3,2,1,2,8,7,0,defense
GER-Bundesliga,2023,Dortmund,Donyell Malen,NED,"FW,MF",24,1999,19.8,11,7,5,3,3,2,6,33.3,4,11,4,7,2,13,8,0,defense
GER-Bundesliga,2023,Dortmund,Emre Can,GER,"MF,DF",29,1994,21.7,63,45,37,23,3,28,48,58.3,20,30,7,23,22,85,41,2,defense
GER-Bundesliga,2023,Dortmund,Felix Nmecha,GER,MF,22,2000,11.3,19,13,7,8,4,11,22,50.0,11,18,5,13,11,30,19,0,defense
GER-Bundesliga,2023,Dortmund,Gio Reyna,USA,"MF,FW",20,2002,3.1,9,6,3,4,2,2,5,40.0,3,5,1,4,2,11,5,0,defense
GER-Bundesliga,2023,Dortmund,Gregor Kobel,SUI,GK,25,1997,26.3,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,11,0,defense
GER-Bundesliga,2023,Dortmund,Hendry Blank,GER,DF,18,2004,0.5,1,0,1,0,0,1,1,100.0,0,1,0,1,0,1,4,0,defense
GER-Bundesliga,2023,Dortmund,Ian Maatsen,NED,DF,21,2002,14.0,30,22,15,9,6,16,30,53.3,14,22,4,18,13,43,26,0,defense
GER-Bundesliga,2023,Dortmund,Jadon Sancho,ENG,"FW,MF",23,2000,10.5,5,4,1,3,1,0,4,0.0,4,11,0,11,4,9,6,0,defense
GER-Bundesliga,2023,Dortmund,Jamie Gittens,ENG,"FW,MF",18,2004,11.8,14,7,6,7,1,2,17,11.8,15,11,2,9,4,18,7,0,defense
GER-Bundesliga,2023,Dortmund,Julian Brandt,GER,"MF,FW",27,1996,24.7,17,14,8,8,1,10,27,37.0,17,20,3,17,8,25,18,0,defense
GER-Bundesliga,2023,Dortmund,Julian Ryerson,NOR,DF,25,1997,19.6,41,23,26,11,4,27,47,57.4,20,31,7,24,10,51,35,3,defense
GER-Bundesliga,2023,Dortmund,Julien Duranville,BEL,"FW,MF",17,2006,0.1,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,defense
GER-Bundesliga,2023,Dortmund,Karim Adeyemi,GER,"FW,MF",21,2002,10.1,16,14,9,4,3,8,20,40.0,12,11,0,11,3,19,5,0,defense
GER-Bundesliga,2023,Dortmund,Kjell-Arik Wätjen,GER,"MF,FW",17,2006,1.2,3,2,2,1,0,2,5,40.0,3,1,1,0,0,3,3,0,defense
GER-Bundesliga,2023,Dortmund,Marcel Sabitzer,AUT,MF,29,1994,21.8,39,24,18,20,1,23,42,54.8,19,31,12,19,12,51,34,0,defense
GER-Bundesliga,2023,Dortmund,Marco Reus,GER,"MF,FW",34,1989,17.8,37,25,20,14,3,12,27,44.4,15,17,2,15,5,42,18,0,defense
GER-Bundesliga,2023,Dortmund,Marius Wolf,GER,DF,28,1995,13.0,20,12,8,11,1,11,23,47.8,12,12,2,10,8,28,20,0,defense
GER-Bundesliga,2023,Dortmund,Mateu Morey,ESP,DF,23,2000,1.2,2,2,1,1,0,2,4,50.0,2,3,1,2,1,3,3,0,defense
GER-Bundesliga,2023,Dortmund,Mats Hummels,GER,DF,34,1988,17.6,52,34,34,12,6,30,53,56.6,23,33,11,22,33,85,82,0,defense
GER-Bundesliga,2023,Dortmund,Niclas Füllkrug,GER,FW,30,1993,24.6,7,2,1,6,0,2,8,25.0,6,17,4,13,2,9,25,0,defense
GER-Bundesliga,2023,Dortmund,Nico Schlotterbeck,GER,DF,23,1999,31.8,70,50,36,27,7,41,65,63.1,24,52,25,27,45,115,101,3,defense
GER-Bundesliga,2023,Dortmund,Niklas Süle,GER,DF,27,1995,16.8,18,10,14,3,1,11,16,68.8,5,25,14,11,25,43,58,2,defense
GER-Bundesliga,2023,Dortmund,Ole Pohlmann,GER,MF,22,2001,0.6,1,0,0,1,0,1,2,50.0,1,0,0,0,0,1,1,0,defense
