nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,league,season,stat_type
,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,,,
SUI,DF,33-112,1991,24.8,2,24,7,29.2,0.97,0.28,0.08,0.29,21.2,3,0,0,1.7,1.7,0.07,0.3,0.3,ENG-Premier League,2024,shooting
ENG,FW,27-123,1997,12.0,6,43,13,30.2,3.58,1.08,0.14,0.46,14.3,0,0,0,5.0,5.0,0.12,1.0,1.0,ENG-Premier League,2024,shooting
ENG,FW,30-046,1995,20.2,7,37,14,37.8,1.83,0.69,0.19,0.5,17.8,0,0,0,5.5,5.5,0.15,1.5,1.5,ENG-Premier League,2024,shooting
ENG,"MF,FW",25-234,1999,9.4,0,13,3,23.1,1.39,0.32,0.0,0.0,17.1,0,0,0,0.9,0.9,0.07,-0.9,-0.9,ENG-Premier League,2024,shooting
BRA,"MF,FW",28-240,1996,24.0,4,43,13,30.2,1.79,0.54,0.09,0.31,14.0,0,0,0,3.9,3.9,0.09,0.1,0.1,ENG-Premier League,2024,shooting
ENG,DF,34-204,1990,9.7,0,3,0,0.0,0.31,0.0,0.0,,22.2,1,0,0,0.1,0.1,0.03,-0.1,-0.1,ENG-Premier League,2024,shooting
ENG,DF,20-215,2004,24.3,0,11,1,9.1,0.45,0.04,0.0,0.0,18.8,0,0,0,0.4,0.4,0.04,-0.4,-0.4,ENG-Premier League,2024,shooting
ENG,MF,18-345,2006,2.4,1,3,2,66.7,1.23,0.82,0.33,0.5,14.6,0,0,0,0.5,0.5,0.18,0.5,0.5,ENG-Premier League,2024,shooting
ENG,DF,26-187,1998,3.4,0,3,0,0.0,0.89,0.0,0.0,,7.3,0,0,0,0.4,0.4,0.14,-0.4,-0.4,ENG-Premier League,2024,shooting
SVK,GK,36-086,1989,10.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ENG-Premier League,2024,shooting
ENG,DF,29-205,1995,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ENG-Premier League,2024,shooting
PAR,FW,31-060,1994,1.7,0,6,2,33.3,3.44,1.15,0.0,0.0,14.2,0,0,0,0.5,0.5,0.09,-0.5,-0.5,ENG-Premier League,2024,shooting
ENG,GK,32-357,1992,20.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ENG-Premier League,2024,shooting
ITA,MF,24-338,2000,21.2,2,25,8,32.0,1.18,0.38,0.08,0.25,18.8,2,0,0,3.2,3.2,0.13,-1.2,-1.2,ENG-Premier League,2024,shooting
ENG,MF,27-163,1997,8.6,0,6,1,16.7,0.7,0.12,0.0,0.0,13.5,0,0,0,0.6,0.6,0.1,-0.6,-0.6,ENG-Premier League,2024,shooting
NED,DF,25-089,2000,2.5,0,1,0,0.0,0.4,0.0,0.0,,11.7,0,0,0,0.0,0.0,0.03,0.0,0.0,ENG-Premier League,2024,shooting
ENG,DF,22-150,2002,23.6,0,4,1,25.0,0.17,0.04,0.0,0.0,22.0,0,0,0,0.2,0.2,0.04,-0.2,-0.2,ENG-Premier League,2024,shooting
DEN,FW,21-250,2003,1.0,0,1,0,0.0,1.0,0.0,0.0,,13.2,0,0,0,0.0,0.0,0.04,0.0,0.0,ENG-Premier League,2024,shooting
SWE,FW,22-349,2002,21.9,6,35,16,45.7,1.59,0.73,0.17,0.38,16.8,4,0,0,3.9,3.9,0.11,2.1,2.1,ENG-Premier League,2024,shooting
ENG,FW,24-155,2000,22.0,5,35,15,42.9,1.59,0.68,0.14,0.33,18.4,0,0,0,2.4,2.4,0.07,2.6,2.6,ENG-Premier League,2024,shooting
NZL,FW,33-125,1991,26.0,18,50,29,58.0,1.92,1.11,0.3,0.52,14.6,0,3,3,11.0,8.7,0.17,7.0,6.3,ENG-Premier League,2024,shooting
BRA,"MF,FW",23-347,2001,2.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ENG-Premier League,2024,shooting
ENG,MF,22-156,2002,23.7,1,33,5,15.2,1.39,0.21,0.03,0.2,19.8,0,0,0,1.6,1.6,0.05,-0.6,-0.6,ENG-Premier League,2024,shooting
GER,"MF,DF",18-343,2006,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ENG-Premier League,2024,shooting
ENG,DF,29-235,1995,0.5,0,1,0,0.0,1.91,0.0,0.0,,28.5,0,0,0,0.0,0.0,0.02,0.0,0.0,ENG-Premier League,2024,shooting
CIV,MF,27-130,1997,3.1,0,1,1,100.0,0.32,0.32,0.0,0.0,32.0,0,0,0,0.0,0.0,0.02,0.0,0.0,ENG-Premier League,2024,shooting
