nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,league,season,stat_type
,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,,,
BRA,DF,19,2004,2.4,2,1,1,1,0,1,3,33.3,2,4,2,2,4,6,8,0,ITA-Serie A,2023,defense
ARG,"FW,MF",20,2003,34.7,41,27,12,14,15,19,40,47.5,21,38,4,34,18,59,9,0,ITA-Serie A,2023,defense
MAR,MF,31,1991,2.2,5,4,1,4,0,2,4,50.0,2,3,0,3,0,5,4,0,ITA-Serie A,2023,defense
ITA,GK,24,1999,7.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,5,1,ITA-Serie A,2023,defense
ITA,DF,24,1999,14.0,21,14,8,13,0,10,22,45.5,12,13,5,8,4,25,29,1,ITA-Serie A,2023,defense
ESP,DF,25,1997,17.1,30,18,14,15,1,17,35,48.6,18,12,1,11,19,49,41,1,ITA-Serie A,2023,defense
POL,MF,29,1994,0.1,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,ITA-Serie A,2023,defense
BRA,"MF,FW",21,2002,11.8,21,10,6,12,3,5,17,29.4,12,24,4,20,10,31,5,0,ITA-Serie A,2023,defense
ITA,DF,25,1998,12.8,7,6,4,3,0,3,13,23.1,10,10,2,8,7,14,33,0,ITA-Serie A,2023,defense
ITA,DF,33,1990,30.2,35,15,23,11,1,15,20,75.0,5,51,36,15,29,64,147,0,ITA-Serie A,2023,defense
ITA,GK,21,2001,30.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,6,3,ITA-Serie A,2023,defense
MAR,FW,25,1998,23.6,12,7,1,8,3,4,8,50.0,4,6,1,5,5,17,10,0,ITA-Serie A,2023,defense
ESP,DF,26,1997,15.3,21,10,7,10,4,9,22,40.9,13,12,4,8,9,30,15,0,ITA-Serie A,2023,defense
URU,DF,18,2004,1.2,1,1,1,0,0,1,1,100.0,0,6,3,3,2,3,4,0,ITA-Serie A,2023,defense
ISL,"FW,MF",26,1997,33.5,23,10,8,10,5,12,44,27.3,32,15,2,13,11,34,13,0,ITA-Serie A,2023,defense
ITA,DF,24,1998,13.0,23,15,14,8,1,12,15,80.0,3,16,10,6,30,53,40,1,ITA-Serie A,2023,defense
TUR,MF,25,1998,2.2,6,4,5,1,0,3,6,50.0,3,3,0,3,4,10,5,0,ITA-Serie A,2023,defense
GHA,FW,29,1994,12.6,8,4,2,4,2,5,9,55.6,4,11,3,8,1,9,7,0,ITA-Serie A,2023,defense
GRE,FW,18,2004,0.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,ITA-Serie A,2023,defense
ITA,GK,26,1997,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,ITA-Serie A,2023,defense
NGA,FW,21,2002,0.6,1,0,0,1,0,0,1,0.0,1,1,0,1,0,1,0,0,ITA-Serie A,2023,defense
ITA,DF,29,1994,1.0,3,3,1,2,0,1,3,33.3,2,0,0,0,2,5,5,0,ITA-Serie A,2023,defense
ENG,DF,22,2000,9.5,16,10,12,4,0,8,10,80.0,2,20,5,15,8,24,28,0,ITA-Serie A,2023,defense
NOR,MF,24,1999,0.6,1,1,0,1,0,0,0,,0,1,0,1,0,1,3,0,ITA-Serie A,2023,defense
POL,MF,25,1997,0.4,0,0,0,0,0,0,1,0.0,1,1,1,0,1,1,0,0,ITA-Serie A,2023,defense
ROU,FW,27,1996,2.1,0,0,0,0,0,0,3,0.0,3,1,0,1,0,0,1,0,ITA-Serie A,2023,defense
ITA,DF,21,2002,1.2,5,4,4,1,0,3,3,100.0,0,1,0,1,3,8,5,0,ITA-Serie A,2023,defense
MEX,DF,24,1998,31.7,51,33,38,11,2,32,50,64.0,18,50,26,24,45,96,113,0,ITA-Serie A,2023,defense
