nation,pos,age,born,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,league,season,stat_type
,,,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,,,
COD,MF,31,1991,0.7,33,0,6,15,12,3,33,2,0,0.0,2,100.0,22,135,59,1,3,1,2,1,20,4,FRA-Ligue 1,2022,possession
FRA,"MF,FW",35,1987,9.3,605,6,53,239,321,39,604,32,18,56.3,11,34.4,474,2613,1242,22,17,7,15,9,459,84,FRA-Ligue 1,2022,possession
CRO,DF,25,1996,0.1,3,1,2,1,0,0,3,0,0,,0,,2,5,3,0,0,0,0,0,2,0,FRA-Ligue 1,2022,possession
CIV,DF,28,1994,6.0,357,40,159,181,20,10,357,4,2,50.0,2,50.0,218,1355,619,4,2,0,8,3,182,4,FRA-Ligue 1,2022,possession
CMR,MF,18,2004,0.1,1,0,0,0,1,1,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0,FRA-Ligue 1,2022,possession
BRA,MF,25,1997,4.6,244,4,31,113,103,11,244,7,2,28.6,3,42.9,199,1052,408,9,7,3,14,15,199,29,FRA-Ligue 1,2022,possession
BFA,DF,21,2001,11.4,734,29,155,290,299,39,734,54,23,42.6,23,42.6,510,3205,1531,39,27,10,33,13,464,130,FRA-Ligue 1,2022,possession
FRA,DF,29,1992,28.8,1757,57,326,737,720,114,1757,63,32,50.8,27,42.9,1215,6722,3314,83,51,22,47,16,1081,240,FRA-Ligue 1,2022,possession
FRA,MF,29,1993,31.8,2376,89,399,1489,511,33,2375,18,12,66.7,5,27.8,1860,10525,4999,59,62,6,28,13,1702,73,FRA-Ligue 1,2022,possession
ARG,DF,23,1999,29.3,1997,223,869,1027,113,16,1997,14,9,64.3,4,28.6,1413,8306,4291,15,19,0,23,3,1232,19,FRA-Ligue 1,2022,possession
COL,FW,24,1997,3.3,119,7,15,53,53,20,119,4,4,100.0,0,0.0,78,440,181,5,5,0,7,1,80,17,FRA-Ligue 1,2022,possession
FRA,MF,23,1999,23.4,1441,32,193,817,455,63,1440,29,14,48.3,11,37.9,1165,7373,3862,50,61,9,25,14,1074,100,FRA-Ligue 1,2022,possession
POR,"DF,MF",22,2000,26.1,1779,45,361,685,765,88,1779,139,55,39.6,74,53.2,1213,8076,3913,96,68,19,75,67,1114,245,FRA-Ligue 1,2022,possession
SEN,"MF,DF",23,1999,5.5,388,9,72,246,73,7,388,7,1,14.3,4,57.1,297,1687,881,9,4,1,7,6,271,13,FRA-Ligue 1,2022,possession
ESP,GK,27,1994,32.5,1174,750,1137,37,0,0,1174,0,0,,0,,880,4606,2729,0,0,0,0,0,635,0,FRA-Ligue 1,2022,possession
ESP,GK,27,1995,5.5,216,169,216,0,0,0,216,0,0,,0,,167,888,490,0,0,0,0,0,119,0,FRA-Ligue 1,2022,possession
UKR,"MF,FW",29,1993,13.6,698,12,80,311,323,26,698,42,27,64.3,13,31.0,533,3349,1583,35,30,5,30,20,509,81,FRA-Ligue 1,2022,possession
FRA,MF,19,2003,0.0,4,0,0,2,2,0,4,0,0,,0,,3,13,6,0,0,0,1,2,3,0,FRA-Ligue 1,2022,possession
FRA,DF,28,1993,20.9,1374,159,573,704,107,30,1374,9,4,44.4,4,44.4,938,5796,3346,33,29,0,11,3,855,19,FRA-Ligue 1,2022,possession
BIH,DF,29,1993,24.6,1547,67,408,831,322,48,1547,12,3,25.0,7,58.3,1140,6231,3393,49,37,6,25,6,994,86,FRA-Ligue 1,2022,possession
FRA,DF,19,2003,0.8,49,6,23,25,2,0,49,1,0,0.0,1,100.0,31,161,45,1,0,0,1,0,29,1,FRA-Ligue 1,2022,possession
FRA,MF,27,1994,33.7,2455,86,506,1464,505,41,2455,45,29,64.4,15,33.3,1889,11394,5460,57,52,9,31,30,1709,72,FRA-Ligue 1,2022,possession
POR,FW,22,2000,5.2,198,6,14,82,107,42,198,11,5,45.5,6,54.5,133,615,191,3,6,2,18,8,121,41,FRA-Ligue 1,2022,possession
RUS,"MF,FW",26,1996,27.4,1382,22,184,574,660,85,1382,49,27,55.1,14,28.6,983,6704,3271,89,61,28,48,32,889,210,FRA-Ligue 1,2022,possession
GER,GK,25,1996,38.0,1215,1033,1208,8,0,0,1215,0,0,,0,,846,4110,2509,0,0,0,1,0,483,0,FRA-Ligue 1,2022,possession
FRA,DF,24,1998,37.0,2293,234,832,1326,161,51,2292,29,21,72.4,8,27.6,1662,11330,6779,64,45,5,18,17,1484,17,FRA-Ligue 1,2022,possession
FRA,DF,21,2001,9.3,568,82,240,324,13,7,568,1,0,0.0,1,100.0,402,2118,1114,3,3,1,3,0,349,0,FRA-Ligue 1,2022,possession
SUI,FW,25,1997,20.7,708,20,42,299,378,100,707,73,32,43.8,35,47.9,522,2799,906,24,27,13,66,46,553,159,FRA-Ligue 1,2022,possession
BRA,DF,25,1997,32.2,2218,105,621,1025,595,36,2218,33,19,57.6,8,24.2,1413,8270,4299,56,49,9,27,10,1253,141,FRA-Ligue 1,2022,possession
FRA,DF,20,2002,5.0,276,31,101,138,38,6,276,1,1,100.0,0,0.0,182,741,262,2,2,0,0,1,151,9,FRA-Ligue 1,2022,possession
FRA,"DF,FW",17,2004,2.5,167,2,20,68,83,16,167,11,3,27.3,8,72.7,119,636,275,8,11,2,4,3,111,29,FRA-Ligue 1,2022,possession
MAR,"FW,MF",17,2005,11.7,583,2,38,284,272,40,583,36,14,38.9,14,38.9,459,2968,1211,31,28,8,39,22,440,93,FRA-Ligue 1,2022,possession
BEL,MF,20,2002,13.1,606,30,134,399,81,1,606,16,4,25.0,9,56.3,431,2218,889,5,13,0,9,12,363,10,FRA-Ligue 1,2022,possession
POR,"MF,FW",27,1995,3.8,218,3,30,74,118,22,218,13,4,30.8,8,61.5,168,1050,529,15,9,6,10,7,154,47,FRA-Ligue 1,2022,possession
CHI,DF,28,1994,24.0,1418,183,658,734,37,25,1418,6,1,16.7,4,66.7,1000,4754,2312,6,6,0,9,6,888,0,FRA-Ligue 1,2022,possession
SEN,"DF,FW",22,1999,12.4,749,24,145,311,299,41,749,12,5,41.7,6,50.0,483,2986,1332,39,31,8,17,7,493,109,FRA-Ligue 1,2022,possession
BRA,MF,24,1998,3.2,191,8,29,136,32,5,191,14,9,64.3,3,21.4,147,968,398,5,6,1,3,1,125,6,FRA-Ligue 1,2022,possession
GER,"FW,MF",30,1992,7.1,267,2,15,122,133,37,267,5,1,20.0,3,60.0,210,1030,270,6,6,5,19,7,213,60,FRA-Ligue 1,2022,possession
SEN,"MF,FW",23,1999,23.0,1011,13,93,367,560,88,1011,61,32,52.5,18,29.5,745,4532,2035,80,51,28,45,20,720,229,FRA-Ligue 1,2022,possession
FRA,"MF,FW",20,2002,4.5,210,4,23,85,105,17,210,13,6,46.2,7,53.8,172,897,351,9,5,2,8,7,161,42,FRA-Ligue 1,2022,possession
FRA,DF,23,1999,8.0,590,54,210,366,17,1,590,4,2,50.0,2,50.0,457,2591,1656,5,7,2,4,2,410,2,FRA-Ligue 1,2022,possession
MLI,MF,22,2000,24.4,1574,44,344,1028,223,6,1574,49,23,46.9,15,30.6,1236,6182,2831,28,29,1,36,26,1105,19,FRA-Ligue 1,2022,possession
NED,FW,21,2001,3.3,98,1,7,39,53,23,98,4,1,25.0,3,75.0,65,336,138,5,1,3,17,7,75,21,FRA-Ligue 1,2022,possession
FRA,DF,29,1993,13.0,975,44,210,463,305,24,975,14,7,50.0,6,42.9,637,3256,1501,29,23,3,14,4,573,78,FRA-Ligue 1,2022,possession
FRA,MF,22,2000,0.7,48,0,0,14,35,5,48,5,1,20.0,3,60.0,33,255,127,5,5,3,3,3,32,10,FRA-Ligue 1,2022,possession
FRA,MF,18,2003,0.9,47,1,12,31,5,0,47,2,1,50.0,1,50.0,29,147,68,0,1,0,1,0,23,1,FRA-Ligue 1,2022,possession
JPN,"MF,FW",27,1995,8.0,382,8,43,153,193,43,382,18,8,44.4,10,55.6,264,1684,696,26,12,11,29,11,244,66,FRA-Ligue 1,2022,possession
