nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,league,season,stat_type
,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,,,
ARG,DF,25-318,1999,23.3,39,25,18,17,4,20,32,62.5,12,28,9,19,30,69,50,0,FRA-Ligue 1,2024,defense
FRA,"FW,MF",34-168,1990,18.1,21,13,3,7,11,11,21,52.4,10,12,2,10,12,33,25,0,FRA-Ligue 1,2024,defense
FRA,FW,18-350,2006,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,FRA-Ligue 1,2024,defense
CTA,FW,25-055,2000,4.8,1,1,0,1,0,0,0,,0,0,0,0,0,1,4,0,FRA-Ligue 1,2024,defense
NGA,"MF,FW",21-148,2003,4.2,25,13,11,12,2,5,15,33.3,10,10,2,8,10,35,7,0,FRA-Ligue 1,2024,defense
BFA,GK,28-177,1996,5.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,5,0,FRA-Ligue 1,2024,defense
SWE,"FW,MF",19-169,2005,2.2,4,3,4,0,0,2,3,66.7,1,1,0,1,1,5,0,1,FRA-Ligue 1,2024,defense
ECU,"DF,MF",22-351,2002,6.6,9,5,4,4,1,2,7,28.6,5,10,1,9,6,15,13,0,FRA-Ligue 1,2024,defense
FRA,DF,32-138,1992,17.5,33,17,18,13,2,19,31,61.3,12,19,8,11,23,56,84,1,FRA-Ligue 1,2024,defense
SLE,DF,19-000,2006,3.2,8,6,2,6,0,4,6,66.7,2,4,3,1,10,18,23,0,FRA-Ligue 1,2024,defense
FRA,DF,19-067,2006,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,FRA-Ligue 1,2024,defense
AUT,DF,26-204,1998,12.0,19,7,12,5,2,12,16,75.0,4,25,19,6,20,39,62,1,FRA-Ligue 1,2024,defense
FRA,"DF,FW",17-097,2008,1.0,1,1,1,0,0,1,3,33.3,2,0,0,0,3,4,3,1,FRA-Ligue 1,2024,defense
ANG,FW,28-236,1996,16.1,5,4,0,1,4,3,9,33.3,6,9,1,8,5,10,7,0,FRA-Ligue 1,2024,defense
FRA,DF,26-078,1999,13.3,16,11,10,5,1,11,22,50.0,11,16,7,9,21,37,51,3,FRA-Ligue 1,2024,defense
URU,"FW,DF",24-050,2001,0.5,3,1,1,1,1,3,3,100.0,0,0,0,0,0,3,2,0,FRA-Ligue 1,2024,defense
AUS,GK,33-003,1992,8.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,2,FRA-Ligue 1,2024,defense
SEN,MF,32-292,1992,3.5,9,6,3,4,2,4,10,40.0,6,6,2,4,4,13,3,0,FRA-Ligue 1,2024,defense
FRA,MF,23-283,2001,13.1,33,18,17,10,6,10,29,34.5,19,28,6,22,18,51,22,0,FRA-Ligue 1,2024,defense
POL,DF,29-364,1995,15.4,32,21,17,10,5,19,30,63.3,11,10,2,8,19,51,28,0,FRA-Ligue 1,2024,defense
FRA,"FW,MF",19-058,2006,0.3,2,2,1,1,0,0,0,,0,0,0,0,0,2,0,0,FRA-Ligue 1,2024,defense
FRA,"DF,MF",31-350,1993,9.6,31,17,15,11,5,23,35,65.7,12,21,3,18,12,43,19,0,FRA-Ligue 1,2024,defense
GLP,"FW,MF",22-039,2003,7.1,16,10,7,6,3,5,11,45.5,6,5,0,5,1,17,7,0,FRA-Ligue 1,2024,defense
FRA,DF,21-297,2003,0.7,2,2,1,1,0,1,2,50.0,1,2,1,1,1,3,4,0,FRA-Ligue 1,2024,defense
FRA,FW,29-357,1995,9.4,15,11,2,10,3,5,12,41.7,7,6,0,6,2,17,2,0,FRA-Ligue 1,2024,defense
FRA,FW,19-132,2005,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,FRA-Ligue 1,2024,defense
BRA,DF,25-245,1999,24.0,27,16,15,11,1,19,29,65.5,10,19,11,8,24,51,108,1,FRA-Ligue 1,2024,defense
