league,season,team,player,nation,pos,age,born,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,stat_type
,,,,,,,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,
ITA-Serie A,2023,Napoli,Khvicha Kvaratskhelia,GEO,FW,22,2001,30.4,1642,10,108,641,926,196,1642,220,101,45.9,98,44.5,1122,9297,4787,184,109,81,58,48,1297,266,possession
ITA-Serie A,2023,Napoli,Leander Dendoncker,BEL,MF,28,1995,0.3,31,0,7,22,2,0,31,0,0,,0,,15,39,20,0,0,0,2,1,25,0,possession
ITA-Serie A,2023,Napoli,Leo Skiri Østigård,NOR,DF,23,1999,18.1,1487,171,668,769,57,18,1487,3,2,66.7,1,33.3,872,4462,2440,13,7,0,4,2,1050,3,possession
ITA-Serie A,2023,Napoli,Mathías Olivera,URU,DF,25,1997,17.4,1375,51,371,685,326,41,1375,17,11,64.7,5,29.4,726,3375,1822,31,27,1,13,16,850,93,possession
ITA-Serie A,2023,Napoli,Matteo Politano,ITA,FW,29,1993,26.2,1550,14,166,555,845,86,1547,83,31,37.3,39,47.0,944,7031,3397,113,80,22,45,24,1155,216,possession
ITA-Serie A,2023,Napoli,Mário Rui,POR,DF,32,1991,13.4,1185,33,294,647,251,8,1185,9,3,33.3,4,44.4,623,2907,1775,33,21,1,10,9,812,59,possession
ITA-Serie A,2023,Napoli,Natan,BRA,DF,22,2001,10.6,756,70,327,384,50,8,756,5,2,40.0,2,40.0,470,2769,1512,15,7,0,10,1,552,11,possession
ITA-Serie A,2023,Napoli,Nikita Contini Baranovsky,ITA,GK,27,1996,0.2,5,3,4,1,0,0,5,0,0,,0,,2,5,3,0,0,0,0,0,0,0,possession
ITA-Serie A,2023,Napoli,Pasquale Mazzocchi,ITA,DF,28,1995,4.8,328,12,92,155,82,6,328,18,6,33.3,9,50.0,189,1222,519,13,13,2,5,3,212,22,possession
ITA-Serie A,2023,Napoli,Pierluigi Gollini,ITA,GK,28,1995,7.0,279,235,277,1,1,1,279,0,0,,0,,153,818,485,0,0,0,0,0,140,0,possession
ITA-Serie A,2023,Napoli,Piotr Zieliński,POL,MF,29,1994,21.4,1396,26,217,687,503,35,1395,34,16,47.1,16,47.1,819,4256,1956,38,50,6,23,14,1072,88,possession
ITA-Serie A,2023,Napoli,Stanislav Lobotka,SVK,MF,28,1994,36.5,2518,94,521,1658,361,5,2518,33,15,45.5,11,33.3,1449,6884,2731,29,47,2,25,13,1851,34,possession
ITA-Serie A,2023,Napoli,Victor Osimhen,NGA,FW,24,1998,22.0,549,20,30,186,340,152,544,40,16,40.0,19,47.5,314,1769,761,34,24,15,64,28,411,142,possession
ITA-Serie A,2023,Roma,Andrea Belotti,ITA,FW,29,1993,7.5,238,3,17,116,107,34,238,15,7,46.7,6,40.0,160,850,350,15,9,6,21,12,186,49,possession
ITA-Serie A,2023,Roma,Angeliño,ESP,DF,26,1997,12.7,830,60,284,351,199,7,830,13,6,46.2,6,46.2,415,1905,864,12,13,0,9,6,502,55,possession
ITA-Serie A,2023,Roma,Bryan Cristante,ITA,"MF,DF",28,1995,36.5,2494,88,577,1504,425,80,2494,26,17,65.4,8,30.8,1438,7211,3544,47,52,4,27,21,1860,80,possession
ITA-Serie A,2023,Roma,Chris Smalling,ENG,DF,33,1989,4.3,262,25,114,133,15,6,262,2,0,0.0,1,50.0,161,896,466,1,3,0,2,1,174,2,possession
ITA-Serie A,2023,Roma,Dean Huijsen,ESP,DF,18,2005,5.7,525,62,204,281,41,8,525,2,1,50.0,1,50.0,308,1407,696,4,3,0,3,2,390,15,possession
ITA-Serie A,2023,Roma,Diego Llorente,ESP,DF,29,1993,24.1,1865,233,945,869,56,12,1865,7,3,42.9,3,42.9,1208,6166,2944,20,10,0,10,3,1370,5,possession
ITA-Serie A,2023,Roma,Edoardo Bove,ITA,MF,21,2002,19.8,980,20,165,557,265,36,980,18,9,50.0,7,38.9,558,2442,1095,21,24,2,27,27,662,47,possession
ITA-Serie A,2023,Roma,Gianluca Mancini,ITA,DF,27,1996,31.9,2248,249,997,1095,167,28,2248,5,4,80.0,1,20.0,1397,6722,4373,38,43,0,4,10,1677,13,possession
ITA-Serie A,2023,Roma,Houssem Aouar,ALG,"MF,FW",25,1998,8.4,439,3,48,238,157,27,439,21,11,52.4,7,33.3,278,1414,621,17,15,6,16,15,319,60,possession
ITA-Serie A,2023,Roma,João Costa,BRA,"MF,FW",18,2005,0.2,10,0,2,2,6,1,10,0,0,,0,,5,25,14,0,0,0,1,1,6,1,possession
ITA-Serie A,2023,Roma,Leandro Paredes,ARG,MF,29,1994,29.3,2332,102,562,1461,322,9,2329,18,8,44.4,6,33.3,1428,7224,3762,36,36,3,15,9,1684,19,possession
ITA-Serie A,2023,Roma,Leonardo Spinazzola,ITA,DF,30,1993,14.6,951,30,234,407,319,37,951,43,20,46.5,19,44.2,604,5548,3161,108,61,22,16,4,652,74,possession
ITA-Serie A,2023,Roma,Lorenzo Pellegrini,ITA,MF,27,1996,20.7,1090,23,161,581,364,49,1089,38,19,50.0,16,42.1,645,4091,1797,43,36,5,42,20,772,97,possession
ITA-Serie A,2023,Roma,Mile Svilar,SRB,GK,23,1999,15.0,644,549,643,1,0,0,644,1,1,100.0,0,0.0,414,1946,1174,0,0,0,0,0,359,0,possession
ITA-Serie A,2023,Roma,Niccolò Pisilli,ITA,MF,18,2004,0.1,7,0,0,6,1,0,7,0,0,,0,,5,24,10,0,0,0,1,0,6,1,possession
ITA-Serie A,2023,Roma,Nicola Zalewski,POL,"DF,FW",21,2002,10.8,582,23,140,249,200,31,582,36,16,44.4,14,38.9,325,2471,1308,54,23,16,18,9,374,62,possession
ITA-Serie A,2023,Roma,Obite N'Dicka,CIV,DF,23,1999,24.1,1770,230,860,843,81,13,1770,3,2,66.7,1,33.3,1164,5998,3599,26,22,1,7,4,1345,11,possession
ITA-Serie A,2023,Roma,Ola Solbakken,NOR,FW,24,1998,0.3,8,0,2,2,4,0,8,2,1,50.0,0,0.0,5,76,22,1,0,0,0,0,5,4,possession
ITA-Serie A,2023,Roma,Paulo Dybala,ARG,"FW,MF",29,1993,21.8,1277,8,87,590,612,88,1270,77,28,36.4,43,55.8,808,5078,2296,79,61,31,70,41,993,167,possession
ITA-Serie A,2023,Roma,Rasmus Kristensen,DEN,DF,26,1997,19.4,1213,74,407,516,296,38,1213,17,7,41.2,10,58.8,571,2020,914,16,9,6,14,5,760,115,possession
ITA-Serie A,2023,Roma,Renato Sanches,POR,MF,25,1997,1.6,94,1,23,46,26,3,94,5,4,80.0,1,20.0,64,342,184,5,5,1,3,5,73,5,possession
ITA-Serie A,2023,Roma,Riccardo Pagano,ITA,"MF,DF",18,2004,0.6,34,2,10,17,7,0,34,1,1,100.0,0,0.0,17,113,64,1,1,0,2,1,21,2,possession
