league,season,team,player,nation,pos,age,born,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,stat_type
,,,,,,,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,
ESP-La Liga,2022,Real Sociedad,Aihen Muñoz,ESP,DF,24,1997,19.5,1226,39,340,531,366,9,1226,40,19,47.5,18,45.0,624,3038,1395,37,32,2,25,18,704,87,possession
ESP-La Liga,2022,Real Sociedad,Alex Sola,ESP,DF,23,1999,3.9,252,12,73,99,84,6,252,16,7,43.8,5,31.3,116,739,298,8,3,1,2,6,131,19,possession
ESP-La Liga,2022,Real Sociedad,Alexander Isak,SWE,FW,22,1999,1.7,46,3,5,19,22,11,46,5,2,40.0,3,60.0,29,214,72,3,2,2,3,2,33,11,possession
ESP-La Liga,2022,Real Sociedad,Alexander Sørloth,NOR,FW,26,1995,26.5,807,29,64,331,431,107,807,75,29,38.7,42,56.0,458,2843,1264,41,30,19,84,61,591,132,possession
ESP-La Liga,2022,Real Sociedad,Ander Barrenetxea,ESP,"FW,DF",20,2001,9.8,544,14,110,213,232,41,544,63,34,54.0,25,39.7,328,2099,994,36,15,17,36,18,348,72,possession
ESP-La Liga,2022,Real Sociedad,Ander Guevara,ESP,MF,25,1997,2.5,200,2,28,127,49,0,200,4,3,75.0,1,25.0,122,577,311,4,4,0,1,1,147,3,possession
ESP-La Liga,2022,Real Sociedad,Ander Martin,ESP,"MF,FW",21,2000,0.5,29,2,7,7,15,0,29,1,1,100.0,0,0.0,10,54,23,1,1,0,0,0,14,0,possession
ESP-La Liga,2022,Real Sociedad,Andoni Gorosabel,ESP,DF,25,1996,19.0,1205,35,288,589,335,17,1205,19,9,47.4,6,31.6,599,2830,1483,42,30,1,14,8,705,75,possession
ESP-La Liga,2022,Real Sociedad,Aritz Elustondo,ESP,DF,28,1994,16.1,952,68,360,488,107,14,952,8,5,62.5,3,37.5,470,2264,1160,21,12,1,13,7,547,19,possession
ESP-La Liga,2022,Real Sociedad,Asier Illarramendi,ESP,MF,32,1990,12.0,790,33,160,477,156,12,790,7,7,100.0,0,0.0,426,1917,799,10,18,1,15,8,516,24,possession
ESP-La Liga,2022,Real Sociedad,Beñat Turrientes,ESP,"MF,FW",20,2002,1.2,61,3,17,29,15,0,61,3,1,33.3,1,33.3,30,113,51,0,0,0,4,2,34,4,possession
ESP-La Liga,2022,Real Sociedad,Brais Méndez,ESP,MF,25,1997,26.7,1608,25,170,776,675,60,1608,53,15,28.3,34,64.2,886,3755,1653,41,44,5,49,29,1093,138,possession
ESP-La Liga,2022,Real Sociedad,Carlos Fernández,ESP,FW,26,1996,7.0,231,5,25,92,120,42,231,20,13,65.0,5,25.0,141,798,284,9,8,4,19,12,181,54,possession
ESP-La Liga,2022,Real Sociedad,David Silva,ESP,MF,36,1986,21.5,1378,24,136,700,560,78,1378,47,19,40.4,19,40.4,881,4932,2318,70,68,19,37,24,1045,121,possession
ESP-La Liga,2022,Real Sociedad,Diego Rico,ESP,DF,29,1993,18.3,1186,68,385,514,296,8,1186,27,13,48.1,9,33.3,535,2659,1275,32,26,1,24,10,627,72,possession
ESP-La Liga,2022,Real Sociedad,Igor Zubeldia,ESP,DF,25,1997,28.2,1772,180,820,912,48,10,1772,8,8,100.0,0,0.0,1080,6177,3803,14,3,1,6,1,1148,4,possession
ESP-La Liga,2022,Real Sociedad,Jon Karrikaburu,ESP,FW,19,2002,1.0,38,0,0,18,20,3,38,0,0,,0,,22,127,38,2,1,1,4,3,28,2,possession
ESP-La Liga,2022,Real Sociedad,Jon Magunazelaia,ESP,"MF,FW",22,2000,0.7,28,1,9,4,15,2,28,1,1,100.0,0,0.0,18,111,70,2,1,0,3,0,15,3,possession
ESP-La Liga,2022,Real Sociedad,Jon Pacheco,ESP,DF,21,2001,13.3,994,98,423,561,13,3,994,3,2,66.7,1,33.3,641,3442,2104,18,4,0,4,2,703,0,possession
ESP-La Liga,2022,Real Sociedad,Martín Zubimendi,ESP,MF,23,1999,34.5,2090,108,509,1350,259,18,2090,24,9,37.5,10,41.7,1265,6896,3678,43,39,3,23,17,1443,29,possession
ESP-La Liga,2022,Real Sociedad,Mikel Merino,ESP,MF,26,1996,27.7,1861,86,356,1024,496,79,1860,42,22,52.4,16,38.1,1020,3933,1763,30,42,4,48,37,1263,107,possession
ESP-La Liga,2022,Real Sociedad,Mikel Oyarzabal,ESP,"FW,MF",25,1997,13.5,532,15,71,186,278,54,529,26,7,26.9,15,57.7,317,1377,673,27,15,12,27,19,386,122,possession
