league,season,team,player,nation,pos,age,born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,stat_type
GER-Bundesliga,2022,Bochum,Pierre Kunde,CMR,"MF,FW",27,1995,4.2,12,6,3,8,1,6,14,42.9,8,7,1,6,7,19,9,0,defense
GER-Bundesliga,2022,Bochum,Saidy Janko,GAM,DF,26,1995,12.6,23,15,13,8,2,12,20,60.0,8,24,10,14,11,34,33,1,defense
GER-Bundesliga,2022,Bochum,Silvère Ganvoula M'Boussy,CGO,"FW,MF",26,1996,2.7,2,2,0,1,1,0,0,,0,0,0,0,0,2,3,0,defense
GER-Bundesliga,2022,Bochum,Simon Zoller,GER,FW,31,1991,16.2,11,4,2,8,1,4,12,33.3,8,14,1,13,6,17,21,0,defense
GER-Bundesliga,2022,Bochum,Takuma Asano,JPN,"FW,MF",27,1994,19.0,14,9,4,4,6,7,16,43.8,9,17,1,16,8,22,8,0,defense
GER-Bundesliga,2022,Bochum,Tim Oermann,GER,DF,18,2003,2.2,2,1,2,0,0,1,1,100.0,0,3,2,1,1,3,8,1,defense
GER-Bundesliga,2022,Bochum,Vassilis Lambropoulos,GRE,DF,32,1990,7.0,10,8,7,3,0,6,9,66.7,3,5,3,2,13,23,41,0,defense
GER-Bundesliga,2022,Dortmund,Alexander Meyer,GER,GK,31,1991,7.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,defense
GER-Bundesliga,2022,Dortmund,Anthony Modeste,FRA,FW,34,1988,9.0,4,4,2,0,2,2,5,40.0,3,7,0,7,2,6,22,0,defense
GER-Bundesliga,2022,Dortmund,Antonios Papadopoulos,GER,DF,22,1999,0.1,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,defense
GER-Bundesliga,2022,Dortmund,Donyell Malen,NED,FW,23,1999,19.0,13,5,3,4,6,5,12,41.7,7,14,1,13,4,17,11,0,defense
GER-Bundesliga,2022,Dortmund,Emre Can,GER,MF,28,1994,21.1,57,28,25,27,5,22,43,51.2,21,16,6,10,25,82,39,1,defense
